file_index,state,drift
109,WATCH,4.4558
110,WATCH,3.2591
111,WATCH,3.483
112,WATCH,3.3048
113,WATCH,2.7498
114,WATCH,3.7873
115,WATCH,3.495
116,WATCH,2.7203
117,STABLE,3.2157
118,WATCH,2.8069
119,WATCH,3.0915
120,WATCH,3.0086
121,WATCH,5.6097
122,WATCH,3.5738
123,WATCH,4.0143
124,WATCH,2.7768
125,WATCH,3.7776
126,WATCH,4.8705
127,WATCH,3.7898
128,WATCH,3.4187
129,WATCH,4.2017
130,ALERT,6.8077
131,ALERT,5.6333
132,WATCH,3.301
133,WATCH,3.9729
134,WATCH,2.7172
135,WATCH,3.6168
136,WATCH,2.7482
137,WATCH,2.6533
138,WATCH,3.0511
139,WATCH,2.9887
140,WATCH,3.304
141,WATCH,3.7453
142,WATCH,2.6833
143,WATCH,3.293
144,WATCH,2.9788
145,WATCH,3.0068
146,WATCH,3.8299
147,WATCH,3.9532
148,WATCH,3.9758
149,WATCH,6.389
150,WATCH,6.1509
151,WATCH,5.311
152,WATCH,4.2009
153,WATCH,3.1709
154,WATCH,2.7659
155,WATCH,3.1563
156,WATCH,4.2492
157,WATCH,3.8204
158,WATCH,4.1946
159,WATCH,2.6502
160,WATCH,4.5082
161,WATCH,3.6212
162,WATCH,4.7533
163,WATCH,4.5681
164,WATCH,3.1325
165,WATCH,3.6584
166,WATCH,3.0039
167,WATCH,4.327
168,WATCH,3.4474
169,WATCH,4.624
170,WATCH,4.3277
171,WATCH,4.4269
172,WATCH,3.4135
173,WATCH,4.7175
174,WATCH,4.2493
175,WATCH,4.2448
176,WATCH,3.75
177,WATCH,4.1943
178,WATCH,3.7088
179,WATCH,3.658
180,WATCH,3.7697
181,WATCH,5.2552
182,WATCH,3.6674
183,WATCH,3.9784
184,WATCH,7.0202
185,WATCH,5.6634
186,WATCH,6.2024
187,WATCH,4.009
188,WATCH,5.551
189,WATCH,4.1389
190,WATCH,4.1833
191,WATCH,4.083
192,WATCH,4.55
193,WATCH,5.7416
194,WATCH,6.3197
195,WATCH,5.6897
196,WATCH,4.4742
197,WATCH,3.7374
198,WATCH,3.4308
199,WATCH,3.3904
200,WATCH,3.1656
201,WATCH,2.728
202,WATCH,3.7335
203,WATCH,3.6354
204,WATCH,2.8781
205,WATCH,3.4112
206,WATCH,4.7213
207,WATCH,4.0066
208,WATCH,4.177
209,WATCH,5.1188
210,WATCH,4.9883
211,WATCH,5.2576
212,WATCH,4.3125
213,WATCH,5.6933
214,WATCH,4.8728
215,WATCH,5.2873
216,WATCH,3.5743
217,WATCH,4.4783
218,WATCH,4.6793
219,WATCH,4.0
220,WATCH,4.0413
221,WATCH,4.3077
222,WATCH,3.7125
223,WATCH,3.2913
224,WATCH,2.2975
225,WATCH,3.2668
226,WATCH,2.8161
227,WATCH,3.4818
228,WATCH,3.7177
229,WATCH,4.0543
230,WATCH,3.602
231,WATCH,3.9608
232,WATCH,3.9401
233,WATCH,4.3746
234,WATCH,4.2906
235,WATCH,4.4463
236,WATCH,5.3032
237,WATCH,2.6315
238,WATCH,3.7074
239,WATCH,3.7633
240,WATCH,3.9485
241,WATCH,4.1733
242,WATCH,5.6707
243,ALERT,5.0909
244,WATCH,4.789
245,WATCH,4.6088
246,WATCH,4.3026
247,WATCH,4.2356
248,WATCH,4.2146
249,WATCH,2.9619
250,WATCH,3.8393
251,STABLE,4.1209
252,WATCH,6.6417
253,WATCH,5.3149
254,WATCH,4.078
255,WATCH,3.6544
256,WATCH,3.8069
257,WATCH,3.557
258,WATCH,5.2073
259,WATCH,4.5328
260,WATCH,4.8139
261,WATCH,4.8194
262,WATCH,5.3311
263,WATCH,6.4034
264,WATCH,4.3562
265,WATCH,4.5153
266,WATCH,3.5472
267,WATCH,4.1612
268,WATCH,5.3928
269,WATCH,3.5464
270,WATCH,3.5637
271,WATCH,4.3737
272,WATCH,3.6723
273,WATCH,3.7949
274,WATCH,3.8879
275,WATCH,3.5223
276,WATCH,3.2915
277,WATCH,3.6991
278,WATCH,4.5157
279,WATCH,5.7609
280,WATCH,5.3499
281,WATCH,4.0552
282,WATCH,3.1195
283,WATCH,4.1107
284,WATCH,5.0606
285,WATCH,4.0706
286,WATCH,4.874
287,WATCH,3.8259
288,WATCH,4.6518
289,WATCH,4.1736
290,WATCH,4.2044
291,WATCH,5.0443
292,WATCH,3.5839
293,WATCH,3.0974
294,WATCH,3.0369
295,WATCH,3.3598
296,WATCH,3.7378
297,WATCH,3.2128
298,WATCH,3.061
299,WATCH,3.115
300,WATCH,3.2884
301,WATCH,3.4562
302,WATCH,3.4923
303,WATCH,3.3863
304,WATCH,3.8827
305,WATCH,5.0898
306,WATCH,5.2121
307,WATCH,5.489
308,WATCH,4.8253
309,WATCH,4.9429
310,WATCH,5.721
311,WATCH,4.0121
312,WATCH,4.2385
313,WATCH,4.1748
314,WATCH,5.6721
315,WATCH,7.9447
316,ALERT,6.3362
317,WATCH,6.8039
318,WATCH,4.7584
319,WATCH,4.0062
320,WATCH,3.9875
321,WATCH,4.1077
322,WATCH,6.5343
323,WATCH,5.6107
324,WATCH,5.2079
325,WATCH,4.7013
326,WATCH,4.5971
327,WATCH,5.2509
328,WATCH,3.7671
329,WATCH,4.6428
330,WATCH,4.0522
331,WATCH,3.5508
332,WATCH,4.2519
333,WATCH,3.8438
334,WATCH,5.0267
335,ALERT,5.6984
336,WATCH,5.1165
337,WATCH,4.709
338,WATCH,5.1962
339,WATCH,5.0358
340,WATCH,6.094
341,WATCH,5.9718
342,WATCH,6.238
343,WATCH,5.0695
344,WATCH,3.62
345,WATCH,4.0582
346,WATCH,4.6219
347,WATCH,5.185
348,WATCH,4.0925
349,WATCH,4.117
350,WATCH,5.3601
351,WATCH,6.0353
352,WATCH,5.6578
353,WATCH,5.4903
354,WATCH,5.3796
355,WATCH,5.5444
356,WATCH,6.3419
357,WATCH,4.622
358,WATCH,4.266
359,WATCH,4.5606
360,WATCH,5.2335
361,WATCH,5.3524
362,WATCH,4.5603
363,WATCH,4.4573
364,WATCH,4.5358
365,WATCH,5.2646
366,WATCH,5.8736
367,WATCH,5.1955
368,WATCH,4.4147
369,WATCH,4.7189
370,WATCH,4.1455
371,WATCH,3.9823
372,WATCH,4.303
373,WATCH,4.3286
374,WATCH,4.9773
375,WATCH,4.3547
376,WATCH,4.0536
377,WATCH,5.5002
378,WATCH,5.3163
379,WATCH,5.7071
380,WATCH,5.007
381,WATCH,5.0674
382,WATCH,3.1002
383,WATCH,4.6895
384,WATCH,4.6119
385,WATCH,4.2185
386,WATCH,4.465
387,WATCH,3.8809
388,WATCH,4.5487
389,WATCH,4.4137
390,WATCH,3.5932
391,WATCH,3.3628
392,WATCH,3.6014
393,WATCH,3.3975
394,WATCH,2.8378
395,WATCH,4.1763
396,WATCH,5.0717
397,WATCH,5.0376
398,WATCH,5.8737
399,WATCH,4.9423
400,WATCH,6.3541
401,WATCH,6.1225
402,WATCH,6.1994
403,WATCH,4.3889
404,WATCH,4.5623
405,WATCH,5.8834
406,WATCH,5.0576
407,WATCH,4.6831
408,WATCH,3.611
409,WATCH,3.9006
410,WATCH,5.0931
411,WATCH,3.861
412,WATCH,5.3518
413,WATCH,4.8938
414,WATCH,4.4609
415,WATCH,4.75
416,WATCH,5.5995
417,WATCH,3.6491
418,WATCH,7.6714
419,WATCH,6.0404
420,WATCH,4.4749
421,WATCH,4.4389
422,WATCH,4.3313
423,WATCH,4.1736
424,WATCH,4.8338
425,WATCH,5.1563
426,WATCH,4.0328
427,WATCH,5.2023
428,WATCH,4.1688
429,WATCH,5.1093
430,WATCH,6.4044
431,WATCH,5.5252
432,WATCH,4.7498
433,WATCH,4.9655
434,WATCH,5.2764
435,WATCH,4.9202
436,WATCH,4.8875
437,WATCH,5.1546
438,WATCH,4.0372
439,WATCH,4.712
440,WATCH,5.6266
441,WATCH,5.0064
442,WATCH,7.0187
443,WATCH,7.3863
444,WATCH,5.8594
445,WATCH,4.7928
446,WATCH,3.8529
447,WATCH,3.9236
448,WATCH,5.5473
449,WATCH,5.3199
450,WATCH,4.4222
451,WATCH,3.6716
452,WATCH,4.3892
453,WATCH,4.1799
454,WATCH,4.2835
455,WATCH,4.4277
456,WATCH,5.4766
457,WATCH,5.1252
458,WATCH,5.9403
459,ALERT,6.0102
460,ALERT,7.4227
461,WATCH,6.6462
462,WATCH,4.6458
463,WATCH,3.7913
464,WATCH,3.6917
465,WATCH,3.2954
466,WATCH,5.3441
467,WATCH,3.8985
468,WATCH,3.6676
469,WATCH,4.8585
470,WATCH,4.6299
471,WATCH,6.0208
472,WATCH,4.3859
473,WATCH,5.2423
474,WATCH,5.5348
475,WATCH,4.9759
476,WATCH,4.9029
477,WATCH,6.0033
478,WATCH,5.9228
479,WATCH,4.6367
480,WATCH,5.3695
481,WATCH,5.0234
482,WATCH,4.4074
483,WATCH,5.7899
484,WATCH,6.4215
485,WATCH,7.6177
486,ALERT,8.5702
487,ALERT,7.8551
488,WATCH,5.7236
489,WATCH,6.4498
490,WATCH,5.5042
491,WATCH,5.6616
492,WATCH,4.566
493,WATCH,5.0375
494,WATCH,7.0609
495,WATCH,7.2226
496,WATCH,7.4021
497,WATCH,5.1847
498,WATCH,5.3804
499,WATCH,5.4991
500,WATCH,4.0615
501,WATCH,6.131
502,WATCH,5.1105
503,WATCH,5.5083
504,WATCH,5.5922
505,WATCH,6.5715
506,WATCH,4.8122
507,WATCH,5.1772
508,WATCH,4.8541
509,WATCH,5.0709
510,WATCH,5.4832
511,WATCH,4.7492
512,WATCH,3.021
513,WATCH,4.3441
514,WATCH,4.9714
515,WATCH,4.8687
516,WATCH,4.9771
517,WATCH,4.4569
518,WATCH,5.0466
519,WATCH,4.8207
520,WATCH,5.4842
521,WATCH,5.6991
522,WATCH,4.5382
523,WATCH,4.5028
524,WATCH,4.4298
525,WATCH,5.7524
526,WATCH,5.4729
527,WATCH,6.2013
528,WATCH,6.61
529,WATCH,4.8812
530,WATCH,6.1773
531,WATCH,6.6262
532,WATCH,6.5883
533,WATCH,5.7361
534,WATCH,7.5038
535,ALERT,9.1695
536,ALERT,9.5983
537,WATCH,8.9122
538,WATCH,10.9689
539,ALERT,9.396
540,WATCH,9.3571
541,WATCH,8.4759
542,WATCH,9.375
543,WATCH,8.9865
544,WATCH,9.6542
545,WATCH,9.777
546,WATCH,10.9277
547,WATCH,10.0129
548,WATCH,9.4512
549,WATCH,10.1782
550,WATCH,10.6452
551,WATCH,11.0299
552,WATCH,10.8227
553,WATCH,10.4506
554,WATCH,10.6956
555,WATCH,11.5337
556,WATCH,11.9628
557,WATCH,11.9956
558,WATCH,12.6664
559,WATCH,11.7871
560,WATCH,13.9874
561,WATCH,13.8832
562,WATCH,14.3005
563,WATCH,13.1648
564,WATCH,13.3076
565,WATCH,12.0471
566,WATCH,12.4262
567,WATCH,11.9747
568,WATCH,11.613
569,WATCH,12.1829
570,WATCH,11.8295
571,WATCH,11.3275
572,WATCH,13.0481
573,WATCH,13.0722
574,WATCH,12.2937
575,WATCH,12.7092
576,WATCH,12.6295
577,WATCH,12.2221
578,WATCH,12.8646
579,WATCH,13.3062
580,WATCH,14.3754
581,WATCH,13.988
582,WATCH,14.4326
583,WATCH,13.8008
584,WATCH,14.1901
585,WATCH,14.1254
586,WATCH,13.4455
587,WATCH,14.1768
588,WATCH,14.2272
589,WATCH,13.9288
590,WATCH,14.4812
591,WATCH,15.8323
592,WATCH,14.2949
593,WATCH,13.5214
594,WATCH,14.0265
595,WATCH,14.5794
596,WATCH,14.8873
597,WATCH,14.9195
598,WATCH,14.2826
599,WATCH,13.9118
600,WATCH,15.1255
601,WATCH,14.3141
602,WATCH,15.352
603,WATCH,15.5832
604,WATCH,15.7074
605,WATCH,15.6426
606,WATCH,15.6696
607,WATCH,16.181
608,WATCH,15.8846
609,WATCH,16.562
610,WATCH,17.6922
611,WATCH,18.4409
612,WATCH,18.6336
613,WATCH,19.159
614,WATCH,18.0466
615,WATCH,18.9302
616,WATCH,20.0691
617,WATCH,17.609
618,WATCH,17.5695
619,WATCH,16.7666
620,WATCH,16.3351
621,WATCH,16.6847
622,WATCH,18.3293
623,WATCH,17.8378
624,WATCH,17.4928
625,WATCH,17.7516
626,WATCH,18.4515
627,WATCH,18.7681
628,WATCH,19.0195
629,WATCH,18.8476
630,WATCH,20.5209
631,WATCH,18.2309
632,WATCH,18.8501
633,WATCH,18.1116
634,WATCH,18.3379
635,WATCH,18.2543
636,WATCH,25.329
637,WATCH,21.6011
638,WATCH,20.1376
639,WATCH,18.076
640,WATCH,17.8968
641,WATCH,17.9413
642,WATCH,19.0006
643,WATCH,19.1937
644,WATCH,18.7746
645,WATCH,20.3521
646,WATCH,19.4207
647,WATCH,19.1355
648,WATCH,21.5821
649,ALERT,23.9624
650,WATCH,23.6921
651,WATCH,24.6726
652,WATCH,25.7289
653,WATCH,25.8654
654,WATCH,26.018
655,WATCH,26.4582
656,STABLE,24.4273
657,WATCH,25.5505
658,WATCH,26.8337
659,WATCH,25.356
660,WATCH,25.2567
661,WATCH,25.2435
662,WATCH,26.4526
663,WATCH,26.3895
664,WATCH,25.4659
665,WATCH,25.5236
666,WATCH,26.0147
667,WATCH,26.3222
668,WATCH,25.7984
669,WATCH,25.7355
670,WATCH,26.0514
671,WATCH,26.4094
672,WATCH,25.587
673,WATCH,23.8297
674,WATCH,22.4198
675,WATCH,24.4152
676,WATCH,24.857
677,WATCH,24.1346
678,WATCH,25.2011
679,WATCH,25.5702
680,WATCH,24.4087
681,WATCH,25.2066
682,WATCH,24.3179
683,WATCH,25.0937
684,WATCH,24.7836
685,WATCH,25.4524
686,WATCH,26.792
687,WATCH,26.1167
688,WATCH,26.6436
689,WATCH,26.6121
690,WATCH,26.0608
691,WATCH,25.8978
692,WATCH,26.6649
693,WATCH,26.3232
694,WATCH,26.6695
695,WATCH,26.4049
696,WATCH,25.7162
697,WATCH,26.4563
698,WATCH,27.3845
699,WATCH,27.0279
700,WATCH,27.5014
701,WATCH,29.5565
702,WATCH,33.6564
703,ALERT,53.3387
704,ALERT,65.016
705,ALERT,72.4559
706,ALERT,74.758
707,ALERT,73.7983
708,WATCH,75.9242
709,WATCH,74.3793
710,WATCH,72.9656
711,WATCH,76.0621
712,WATCH,75.8924
713,WATCH,75.2144
714,WATCH,74.7625
715,WATCH,75.246
716,WATCH,76.6094
717,WATCH,74.6548
718,WATCH,73.5313
719,WATCH,72.9636
720,WATCH,72.8929
721,WATCH,71.4498
722,WATCH,70.965
723,WATCH,68.432
724,WATCH,67.2176
725,WATCH,66.5919
726,WATCH,69.4501
727,WATCH,71.2013
728,WATCH,71.3772
729,WATCH,71.2998
730,WATCH,70.6893
731,WATCH,72.3063
732,WATCH,69.0387
733,WATCH,68.2077
734,WATCH,65.6081
735,WATCH,64.072
736,WATCH,63.4479
737,WATCH,65.022
738,WATCH,66.2437
739,WATCH,62.37
740,WATCH,60.5252
741,WATCH,62.3259
742,WATCH,60.3148
743,WATCH,59.4714
744,WATCH,56.7945
745,WATCH,56.5905
746,WATCH,58.0938
747,WATCH,58.4685
748,WATCH,55.8709
749,WATCH,57.6836
750,WATCH,54.3957
751,WATCH,58.2495
752,WATCH,58.25
753,WATCH,55.5179
754,WATCH,56.1216
755,WATCH,52.0146
756,WATCH,47.7786
757,WATCH,47.7972
758,WATCH,42.3475
759,WATCH,41.8098
760,WATCH,37.605
761,WATCH,37.168
762,WATCH,37.0174
763,WATCH,34.3932
764,WATCH,33.538
765,WATCH,31.3325
766,WATCH,30.24
767,WATCH,28.1486
768,WATCH,28.0583
769,WATCH,27.8933
770,WATCH,26.6964
771,WATCH,26.2952
772,WATCH,25.001
773,WATCH,25.4451
774,WATCH,24.0162
775,WATCH,23.7278
776,WATCH,20.8287
777,WATCH,21.5615
778,WATCH,20.9319
779,WATCH,20.4437
780,WATCH,20.2454
781,WATCH,21.5232
782,WATCH,19.8104
783,WATCH,21.1965
784,WATCH,19.9694
785,WATCH,18.9344
786,WATCH,18.2765
787,WATCH,19.3568
788,WATCH,18.5072
789,WATCH,20.8115
790,WATCH,19.288
791,WATCH,18.5768
792,WATCH,20.1303
793,WATCH,20.5597
794,WATCH,21.8723
795,WATCH,22.2945
796,WATCH,22.1903
797,WATCH,23.0771
798,WATCH,23.1421
799,WATCH,20.9469
800,WATCH,21.8508
801,WATCH,23.0233
802,WATCH,22.9729
803,WATCH,23.352
804,WATCH,23.5024
805,WATCH,24.1457
806,WATCH,24.2022
807,WATCH,25.0351
808,WATCH,25.6378
809,WATCH,24.5799
810,WATCH,25.5479
811,WATCH,26.5889
812,WATCH,28.1173
813,WATCH,25.7971
814,WATCH,26.1591
815,WATCH,26.5857
816,WATCH,27.195
817,WATCH,26.7832
818,WATCH,26.733
819,WATCH,27.7619
820,WATCH,27.9522
821,WATCH,27.0246
822,WATCH,28.0262
823,WATCH,28.9291
824,WATCH,38.2554
825,ALERT,43.6577
826,ALERT,45.0717
827,ALERT,47.8742
828,ALERT,48.8126
829,ALERT,50.7723
830,ALERT,51.4215
831,ALERT,51.1387
832,ALERT,53.8071
833,ALERT,53.1069
834,WATCH,55.2491
835,WATCH,56.9603
836,WATCH,60.013
837,WATCH,60.6464
838,WATCH,61.2619
839,WATCH,64.0534
840,WATCH,65.3504
841,WATCH,63.683
842,WATCH,64.4989
843,WATCH,64.9668
844,WATCH,64.9727
845,WATCH,66.3623
846,WATCH,66.9531
847,WATCH,66.9621
848,WATCH,66.7371
849,WATCH,68.6622
850,WATCH,70.6837
851,WATCH,71.7968
852,WATCH,71.7434
853,WATCH,70.3001
854,WATCH,67.9595
855,WATCH,65.8437
856,WATCH,65.7853
857,WATCH,68.2796
858,WATCH,72.0404
859,WATCH,67.7541
860,WATCH,65.9683
861,WATCH,65.5083
862,WATCH,64.4046
863,WATCH,66.4478
864,WATCH,67.3379
865,WATCH,68.3735
866,WATCH,68.8568
867,WATCH,65.9055
868,WATCH,62.6723
869,WATCH,58.3793
870,WATCH,55.7399
871,WATCH,54.3456
872,WATCH,53.7863
873,WATCH,60.6358
874,WATCH,66.009
875,WATCH,62.3735
876,WATCH,61.8533
877,WATCH,61.4094
878,WATCH,58.9198
879,WATCH,55.485
880,WATCH,54.6699
881,WATCH,54.9439
882,WATCH,53.7432
883,WATCH,51.984
884,WATCH,51.6996
885,WATCH,52.7185
886,WATCH,53.4156
887,WATCH,53.6775
888,WATCH,52.0667
889,WATCH,52.6189
890,WATCH,55.4742
891,WATCH,54.7979
892,WATCH,50.6746
893,WATCH,44.5204
894,WATCH,40.9905
895,WATCH,37.3111
896,WATCH,33.6223
897,WATCH,31.6882
898,WATCH,29.1446
899,WATCH,27.9215
900,WATCH,27.8209
901,WATCH,27.8081
902,WATCH,30.1933
903,WATCH,33.3205
904,WATCH,39.9482
905,WATCH,47.983
906,WATCH,55.9469
907,WATCH,65.1431
908,WATCH,77.525
909,WATCH,81.9105
910,WATCH,83.7867
911,WATCH,78.8325
912,WATCH,74.6075
913,WATCH,73.5542
914,WATCH,73.2481
915,WATCH,81.5453
916,WATCH,84.3188
917,WATCH,79.0158
918,WATCH,66.3706
919,WATCH,62.7164
920,WATCH,57.9376
921,WATCH,58.2828
922,WATCH,56.032
923,WATCH,59.8411
924,WATCH,60.3506
925,WATCH,57.914
926,WATCH,54.8837
927,WATCH,49.7591
928,WATCH,45.7286
929,WATCH,46.1488
930,WATCH,50.8121
931,WATCH,52.9063
932,WATCH,57.0612
933,WATCH,62.1293
934,WATCH,69.0851
935,WATCH,81.9072
936,ALERT,103.5977
937,ALERT,88.6364
938,WATCH,81.281
939,WATCH,78.0596
940,WATCH,64.2882
941,WATCH,53.9279
942,WATCH,51.326
943,WATCH,50.5157
944,WATCH,66.8667
945,WATCH,70.9559
946,WATCH,79.3619
947,WATCH,70.9903
948,WATCH,60.313
949,WATCH,54.3142
950,WATCH,52.6286
951,WATCH,58.0519
952,WATCH,71.1366
953,WATCH,85.5957
954,WATCH,81.799
955,WATCH,95.7601
956,WATCH,90.7721
957,WATCH,96.5796
958,WATCH,96.8795
959,WATCH,119.5285
960,WATCH,106.5585
961,WATCH,94.3835
962,WATCH,97.1913
963,ALERT,85.8544
964,ALERT,88.8466
965,WATCH,96.9533
966,WATCH,113.722
967,WATCH,118.1413
968,WATCH,142.6153
969,WATCH,148.846
970,WATCH,154.9463
971,WATCH,161.1171
972,ALERT,193.867
973,ALERT,216.3083
974,WATCH,219.1284
975,WATCH,245.0848
976,WATCH,344.6129
977,WATCH,334.5041
978,WATCH,305.5298
979,WATCH,264.2079
980,WATCH,370.9518
981,WATCH,323.7812
982,WATCH,300.2128
983,WATCH,145.1567
984,WATCH,71.1468
