unit,cycle,watch_cycle,alert_cycle,true_rul,failure_cycle,watch_lead,alert_lead,has_watch,has_alert,alert_quality
81,60,26.0,38.0,96,156,130.0,118.0,True,True,good
82,146,26.0,60.0,10,156,130.0,96.0,True,True,usable
83,274,26.0,71.0,172,446,420.0,375.0,True,True,very_early
84,88,26.0,37.0,166,254,228.0,217.0,True,True,very_early
85,174,26.0,,115,289,263.0,,True,False,miss
86,254,26.0,29.0,70,324,298.0,295.0,True,True,very_early
87,167,26.0,30.0,94,261,235.0,231.0,True,True,very_early
88,140,26.0,58.0,56,196,170.0,138.0,True,True,good
89,285,26.0,281.0,86,371,345.0,90.0,True,True,usable
90,118,26.0,,96,214,188.0,,True,False,miss
91,144,26.0,41.0,50,194,168.0,153.0,True,True,good
92,116,26.0,51.0,73,189,163.0,138.0,True,True,good
93,200,26.0,52.0,154,354,328.0,302.0,True,True,very_early
94,105,26.0,61.0,129,234,208.0,173.0,True,True,good
95,110,26.0,71.0,171,281,255.0,210.0,True,True,very_early
96,123,26.0,50.0,71,194,168.0,144.0,True,True,good
97,51,26.0,,105,156,130.0,,True,False,miss
98,82,26.0,67.0,113,195,169.0,128.0,True,True,good
99,237,26.0,149.0,37,274,248.0,125.0,True,True,good
100,196,26.0,109.0,7,203,177.0,94.0,True,True,usable
101,166,26.0,,13,179,153.0,,True,False,miss
102,443,26.0,44.0,22,465,439.0,421.0,True,True,very_early
103,145,26.0,32.0,9,154,128.0,122.0,True,True,good
104,65,26.0,,120,185,159.0,,True,False,miss
105,351,26.0,58.0,100,451,425.0,393.0,True,True,very_early
106,148,26.0,44.0,107,255,229.0,211.0,True,True,very_early
107,121,26.0,40.0,41,162,136.0,122.0,True,True,good
108,145,26.0,53.0,153,298,272.0,245.0,True,True,very_early
109,66,26.0,,126,192,166.0,,True,False,miss
110,348,27.0,26.0,59,407,380.0,381.0,True,True,very_early
111,342,26.0,59.0,18,360,334.0,301.0,True,True,very_early
112,88,26.0,62.0,66,154,128.0,92.0,True,True,usable
113,132,26.0,104.0,13,145,119.0,41.0,True,True,usable
114,218,26.0,,14,232,206.0,,True,False,miss
115,82,26.0,51.0,139,221,195.0,170.0,True,True,good
116,161,26.0,56.0,13,174,148.0,118.0,True,True,good
117,97,26.0,28.0,75,172,146.0,144.0,True,True,good
118,178,26.0,81.0,8,186,160.0,105.0,True,True,good
119,228,26.0,95.0,109,337,311.0,242.0,True,True,very_early
120,170,26.0,46.0,137,307,281.0,261.0,True,True,very_early
121,194,26.0,165.0,41,235,209.0,70.0,True,True,usable
122,117,26.0,57.0,192,309,283.0,252.0,True,True,very_early
123,236,26.0,37.0,23,259,233.0,222.0,True,True,very_early
124,230,26.0,69.0,86,316,290.0,247.0,True,True,very_early
125,21,,,184,205,,,False,False,miss
126,220,26.0,33.0,15,235,209.0,202.0,True,True,very_early
127,98,26.0,44.0,195,293,267.0,249.0,True,True,very_early
128,139,26.0,36.0,126,265,239.0,229.0,True,True,very_early
129,315,26.0,27.0,120,435,409.0,408.0,True,True,very_early
130,107,26.0,58.0,165,272,246.0,214.0,True,True,very_early
131,193,26.0,40.0,101,294,268.0,254.0,True,True,very_early
132,115,26.0,111.0,116,231,205.0,120.0,True,True,good
133,74,26.0,,126,200,174.0,,True,False,miss
134,266,26.0,51.0,36,302,276.0,251.0,True,True,very_early
135,435,26.0,300.0,7,442,416.0,142.0,True,True,good
136,56,26.0,,122,178,152.0,,True,False,miss
137,291,28.0,26.0,159,450,422.0,424.0,True,True,very_early
138,239,26.0,152.0,88,327,301.0,175.0,True,True,good
139,88,26.0,,173,261,235.0,,True,False,miss
140,160,26.0,40.0,146,306,280.0,266.0,True,True,very_early
141,19,,,130,149,,,False,False,miss
142,69,26.0,,108,177,151.0,,True,False,miss
143,327,26.0,87.0,53,380,354.0,293.0,True,True,very_early
144,34,26.0,,162,196,170.0,,True,False,miss
145,102,26.0,55.0,59,161,135.0,106.0,True,True,good
146,84,26.0,48.0,100,184,158.0,136.0,True,True,good
147,116,26.0,103.0,56,172,146.0,69.0,True,True,usable
148,126,26.0,53.0,145,271,245.0,218.0,True,True,very_early
149,320,26.0,52.0,76,396,370.0,344.0,True,True,very_early
150,202,26.0,109.0,57,259,233.0,150.0,True,True,good
151,285,26.0,167.0,31,316,290.0,149.0,True,True,good
152,195,26.0,115.0,88,283,257.0,168.0,True,True,good
153,130,26.0,25.0,173,303,277.0,278.0,True,True,very_early
154,122,26.0,,34,156,130.0,,True,False,miss
155,161,26.0,47.0,7,168,142.0,121.0,True,True,good
156,28,26.0,,133,161,135.0,,True,False,miss
157,138,26.0,54.0,172,310,284.0,256.0,True,True,very_early
158,171,26.0,32.0,6,177,151.0,145.0,True,True,good
159,160,26.0,151.0,22,182,156.0,31.0,True,True,usable
160,122,26.0,57.0,83,205,179.0,148.0,True,True,good
161,257,26.0,50.0,82,339,313.0,289.0,True,True,very_early
162,99,26.0,43.0,84,183,157.0,140.0,True,True,good
163,122,26.0,37.0,95,217,191.0,180.0,True,True,good
164,29,26.0,,174,203,177.0,,True,False,miss
165,178,26.0,,111,289,263.0,,True,False,miss
166,63,26.0,46.0,72,135,109.0,89.0,True,True,usable
167,99,26.0,,109,208,182.0,,True,False,miss
168,74,26.0,,87,161,135.0,,True,False,miss
169,34,26.0,,179,213,187.0,,True,False,miss
170,48,26.0,,158,206,180.0,,True,False,miss
171,355,26.0,27.0,126,481,455.0,454.0,True,True,very_early
172,132,26.0,32.0,12,144,118.0,112.0,True,True,good
173,151,26.0,,8,159,133.0,,True,False,miss
174,135,26.0,79.0,10,145,119.0,66.0,True,True,usable
175,116,26.0,,123,239,213.0,,True,False,miss
176,185,26.0,33.0,103,288,262.0,255.0,True,True,very_early
177,146,26.0,,12,158,132.0,,True,False,miss
178,279,26.0,99.0,106,385,359.0,286.0,True,True,very_early
179,262,26.0,41.0,12,274,248.0,233.0,True,True,very_early
180,367,26.0,32.0,32,399,373.0,367.0,True,True,very_early
181,199,26.0,123.0,37,236,210.0,113.0,True,True,good
182,98,26.0,,116,214,188.0,,True,False,miss
183,125,26.0,92.0,15,140,114.0,48.0,True,True,usable
184,154,26.0,52.0,10,164,138.0,112.0,True,True,good
185,203,26.0,59.0,46,249,223.0,190.0,True,True,good
186,47,26.0,,142,189,163.0,,True,False,miss
187,121,26.0,52.0,24,145,119.0,93.0,True,True,usable
188,157,26.0,33.0,135,292,266.0,259.0,True,True,very_early
189,107,26.0,35.0,56,163,137.0,128.0,True,True,good
190,200,26.0,,43,243,217.0,,True,False,miss
191,71,26.0,45.0,178,249,223.0,204.0,True,True,very_early
192,203,26.0,,71,274,248.0,,True,False,miss
193,263,26.0,134.0,104,367,341.0,233.0,True,True,very_early
194,214,26.0,,15,229,203.0,,True,False,miss
195,186,26.0,42.0,166,352,326.0,310.0,True,True,very_early
196,70,26.0,36.0,89,159,133.0,123.0,True,True,good
197,196,26.0,29.0,36,232,206.0,203.0,True,True,very_early
198,115,26.0,52.0,11,126,100.0,74.0,True,True,usable
199,177,26.0,,92,269,243.0,,True,False,miss
200,115,26.0,29.0,96,211,185.0,182.0,True,True,good
201,139,26.0,97.0,59,198,172.0,101.0,True,True,good
202,222,26.0,163.0,13,235,209.0,72.0,True,True,usable
203,87,26.0,,167,254,228.0,,True,False,miss
204,19,,,151,170,,,False,False,miss
205,95,26.0,46.0,154,249,223.0,203.0,True,True,very_early
206,291,26.0,49.0,109,400,374.0,351.0,True,True,very_early
207,179,26.0,32.0,116,295,269.0,263.0,True,True,very_early
208,180,26.0,74.0,91,271,245.0,197.0,True,True,good
209,171,26.0,95.0,11,182,156.0,87.0,True,True,usable
210,135,26.0,63.0,88,223,197.0,160.0,True,True,good
211,206,26.0,,108,314,288.0,,True,False,miss
212,261,26.0,,76,337,311.0,,True,False,miss
213,288,27.0,26.0,14,302,275.0,276.0,True,True,very_early
214,102,26.0,54.0,89,191,165.0,137.0,True,True,good
215,72,26.0,,145,217,191.0,,True,False,miss
216,264,26.0,87.0,17,281,255.0,194.0,True,True,good
217,141,26.0,76.0,66,207,181.0,131.0,True,True,good
218,63,26.0,28.0,154,217,191.0,189.0,True,True,good
219,110,26.0,,41,151,125.0,,True,False,miss
220,65,26.0,,182,247,221.0,,True,False,miss
221,176,26.0,,73,249,223.0,,True,False,miss
222,178,26.0,139.0,39,217,191.0,78.0,True,True,usable
223,305,26.0,46.0,58,363,337.0,317.0,True,True,very_early
224,152,26.0,50.0,14,166,140.0,116.0,True,True,good
225,39,28.0,26.0,145,184,156.0,158.0,True,True,good
226,59,26.0,,88,147,121.0,,True,False,miss
227,62,26.0,46.0,162,224,198.0,178.0,True,True,good
228,126,26.0,50.0,189,315,289.0,265.0,True,True,very_early
229,20,,,120,140,,,False,False,miss
230,157,26.0,53.0,98,255,229.0,202.0,True,True,very_early
231,230,26.0,,33,263,237.0,,True,False,miss
232,370,26.0,58.0,184,554,528.0,496.0,True,True,very_early
233,111,26.0,,110,221,195.0,,True,False,miss
234,179,26.0,51.0,68,247,221.0,196.0,True,True,good
235,362,26.0,55.0,24,386,360.0,331.0,True,True,very_early
236,176,26.0,,75,251,225.0,,True,False,miss
237,221,26.0,193.0,18,239,213.0,46.0,True,True,usable
238,177,26.0,43.0,16,193,167.0,150.0,True,True,good
239,28,26.0,,166,194,168.0,,True,False,miss
240,204,26.0,112.0,98,302,276.0,190.0,True,True,good
241,42,26.0,,176,218,192.0,,True,False,miss
242,112,26.0,,81,193,167.0,,True,False,miss
243,199,27.0,26.0,118,317,290.0,291.0,True,True,very_early
244,184,26.0,33.0,35,219,193.0,186.0,True,True,good
245,63,26.0,57.0,131,194,168.0,137.0,True,True,good
246,29,26.0,,194,223,197.0,,True,False,miss
247,94,26.0,,112,206,180.0,,True,False,miss
248,281,26.0,132.0,26,307,281.0,175.0,True,True,good
