unit,last_cycle,true_rul,watch_cycle,alert_cycle,failure_cycle,watch_lead,alert_lead,has_watch,has_alert,alert_quality
86,254,70,,58.0,324,,266.0,False,True,very_early
87,167,94,,62.0,261,,199.0,False,True,good
88,140,56,,60.0,196,,136.0,False,True,good
89,285,86,,94.0,371,,277.0,False,True,very_early
90,118,96,,58.0,214,,156.0,False,True,good
91,144,50,89.0,101.0,194,105.0,93.0,True,True,usable
92,116,73,78.0,89.0,189,111.0,100.0,True,True,good
93,200,154,64.0,140.0,354,290.0,214.0,True,True,very_early
94,105,129,60.0,62.0,234,174.0,172.0,True,True,good
95,110,171,60.0,74.0,281,221.0,207.0,True,True,very_early
96,123,71,60.0,69.0,194,134.0,125.0,True,True,good
97,51,105,38.0,46.0,156,118.0,110.0,True,True,good
98,82,113,58.0,68.0,195,137.0,127.0,True,True,good
99,237,37,,58.0,274,,216.0,False,True,very_early
100,196,7,91.0,102.0,203,112.0,101.0,True,True,good
101,166,13,,59.0,179,,120.0,False,True,good
102,443,22,61.0,174.0,465,404.0,291.0,True,True,very_early
103,145,9,63.0,85.0,154,91.0,69.0,True,True,usable
104,65,120,47.0,58.0,185,138.0,127.0,True,True,good
105,351,100,,145.0,451,,306.0,False,True,very_early
106,148,107,,59.0,255,,196.0,False,True,good
107,121,41,82.0,97.0,162,80.0,65.0,True,True,usable
108,145,153,,58.0,298,,240.0,False,True,very_early
109,66,126,48.0,58.0,192,144.0,134.0,True,True,good
110,348,59,71.0,189.0,407,336.0,218.0,True,True,very_early
111,342,18,60.0,61.0,360,300.0,299.0,True,True,very_early
112,88,66,60.0,77.0,154,94.0,77.0,True,True,usable
113,132,13,,71.0,145,,74.0,False,True,usable
114,218,14,,58.0,232,,174.0,False,True,good
115,82,139,,58.0,221,,163.0,False,True,good
116,161,13,,58.0,174,,116.0,False,True,good
117,97,75,70.0,76.0,172,102.0,96.0,True,True,usable
118,178,8,,82.0,186,,104.0,False,True,good
119,228,109,91.0,93.0,337,246.0,244.0,True,True,very_early
120,170,137,64.0,81.0,307,243.0,226.0,True,True,very_early
121,194,41,68.0,72.0,235,167.0,163.0,True,True,good
122,117,192,,58.0,309,,251.0,False,True,very_early
123,236,23,60.0,177.0,259,199.0,82.0,True,True,usable
124,230,86,,63.0,316,,253.0,False,True,very_early
125,21,184,,,205,,,False,False,miss
126,220,15,70.0,113.0,235,165.0,122.0,True,True,good
127,98,195,70.0,76.0,293,223.0,217.0,True,True,very_early
128,139,126,60.0,64.0,265,205.0,201.0,True,True,very_early
129,315,120,,58.0,435,,377.0,False,True,very_early
130,107,165,78.0,93.0,272,194.0,179.0,True,True,good
131,193,101,,58.0,294,,236.0,False,True,very_early
132,115,116,60.0,71.0,231,171.0,160.0,True,True,good
133,74,126,53.0,58.0,200,147.0,142.0,True,True,good
134,266,36,105.0,106.0,302,197.0,196.0,True,True,good
135,435,7,,84.0,442,,358.0,False,True,very_early
136,56,122,41.0,50.0,178,137.0,128.0,True,True,good
137,291,159,81.0,98.0,450,369.0,352.0,True,True,very_early
138,239,88,62.0,138.0,327,265.0,189.0,True,True,good
139,88,173,62.0,76.0,261,199.0,185.0,True,True,good
140,160,146,,98.0,306,,208.0,False,True,very_early
141,19,130,,,149,,,False,False,miss
142,69,108,50.0,59.0,177,127.0,118.0,True,True,good
143,327,53,86.0,111.0,380,294.0,269.0,True,True,very_early
144,34,162,28.0,30.0,196,168.0,166.0,True,True,good
145,102,59,,58.0,161,,103.0,False,True,good
146,84,100,,57.0,184,,127.0,False,True,good
147,116,56,,58.0,172,,114.0,False,True,good
148,126,145,,58.0,271,,213.0,False,True,very_early
149,320,76,,63.0,396,,333.0,False,True,very_early
150,202,57,91.0,102.0,259,168.0,157.0,True,True,good
151,285,31,96.0,97.0,316,220.0,219.0,True,True,very_early
152,195,88,71.0,116.0,283,212.0,167.0,True,True,good
153,130,173,90.0,100.0,303,213.0,203.0,True,True,very_early
154,122,34,70.0,77.0,156,86.0,79.0,True,True,usable
155,161,7,64.0,104.0,168,104.0,64.0,True,True,usable
156,28,133,,25.0,161,,136.0,False,True,good
157,138,172,,58.0,310,,252.0,False,True,very_early
158,171,6,64.0,67.0,177,113.0,110.0,True,True,good
159,160,22,,59.0,182,,123.0,False,True,good
160,122,83,,58.0,205,,147.0,False,True,good
161,257,82,,63.0,339,,276.0,False,True,very_early
162,99,84,,58.0,183,,125.0,False,True,good
163,122,95,,58.0,217,,159.0,False,True,good
164,29,174,,26.0,203,,177.0,False,True,good
165,178,111,,65.0,289,,224.0,False,True,very_early
166,63,72,46.0,56.0,135,89.0,79.0,True,True,usable
167,99,109,,58.0,208,,150.0,False,True,good
168,74,87,53.0,58.0,161,108.0,103.0,True,True,good
169,34,179,28.0,31.0,213,185.0,182.0,True,True,good
170,48,158,36.0,43.0,206,170.0,163.0,True,True,good
171,355,126,72.0,77.0,481,409.0,404.0,True,True,very_early
172,132,12,60.0,76.0,144,84.0,68.0,True,True,usable
173,151,8,63.0,64.0,159,96.0,95.0,True,True,usable
174,135,10,,77.0,145,,68.0,False,True,usable
175,116,123,,59.0,239,,180.0,False,True,good
176,185,103,67.0,100.0,288,221.0,188.0,True,True,good
177,146,12,,81.0,158,,77.0,False,True,usable
178,279,106,,89.0,385,,296.0,False,True,very_early
179,262,12,,58.0,274,,216.0,False,True,very_early
180,367,32,134.0,189.0,399,265.0,210.0,True,True,very_early
181,199,37,,86.0,236,,150.0,False,True,good
182,98,116,,58.0,214,,156.0,False,True,good
183,125,15,79.0,91.0,140,61.0,49.0,True,True,usable
184,154,10,60.0,62.0,164,104.0,102.0,True,True,good
185,203,46,,58.0,249,,191.0,False,True,good
186,47,142,35.0,43.0,189,154.0,146.0,True,True,good
187,121,24,,64.0,145,,81.0,False,True,usable
188,157,135,70.0,113.0,292,222.0,179.0,True,True,good
189,107,56,,58.0,163,,105.0,False,True,good
190,200,43,,64.0,243,,179.0,False,True,good
191,71,178,51.0,58.0,249,198.0,191.0,True,True,good
192,203,71,76.0,113.0,274,198.0,161.0,True,True,good
193,263,104,,81.0,367,,286.0,False,True,very_early
194,214,15,62.0,93.0,229,167.0,136.0,True,True,good
195,186,166,,77.0,352,,275.0,False,True,very_early
196,70,89,50.0,58.0,159,109.0,101.0,True,True,good
197,196,36,84.0,111.0,232,148.0,121.0,True,True,good
198,115,11,,58.0,126,,68.0,False,True,usable
199,177,92,,66.0,269,,203.0,False,True,very_early
200,115,96,71.0,77.0,211,140.0,134.0,True,True,good
201,139,59,66.0,99.0,198,132.0,99.0,True,True,usable
202,222,13,60.0,198.0,235,175.0,37.0,True,True,usable
203,87,167,60.0,64.0,254,194.0,190.0,True,True,good
204,19,151,,,170,,,False,False,miss
205,95,154,,60.0,249,,189.0,False,True,good
206,291,109,66.0,188.0,400,334.0,212.0,True,True,very_early
207,179,116,63.0,85.0,295,232.0,210.0,True,True,very_early
208,180,91,79.0,109.0,271,192.0,162.0,True,True,good
209,171,11,112.0,152.0,182,70.0,30.0,True,True,usable
210,135,88,86.0,88.0,223,137.0,135.0,True,True,good
211,206,108,,59.0,314,,255.0,False,True,very_early
212,261,76,,58.0,337,,279.0,False,True,very_early
213,288,14,84.0,163.0,302,218.0,139.0,True,True,good
214,102,89,60.0,62.0,191,131.0,129.0,True,True,good
215,72,145,52.0,60.0,217,165.0,157.0,True,True,good
216,264,17,87.0,111.0,281,194.0,170.0,True,True,good
217,141,66,64.0,65.0,207,143.0,142.0,True,True,good
218,63,154,46.0,56.0,217,171.0,161.0,True,True,good
219,110,41,78.0,89.0,151,73.0,62.0,True,True,usable
220,65,182,47.0,58.0,247,200.0,189.0,True,True,good
221,176,73,64.0,149.0,249,185.0,100.0,True,True,good
222,178,39,85.0,91.0,217,132.0,126.0,True,True,good
223,305,58,60.0,63.0,363,303.0,300.0,True,True,very_early
224,152,14,,58.0,166,,108.0,False,True,good
225,39,145,30.0,34.0,184,154.0,150.0,True,True,good
226,59,88,43.0,53.0,147,104.0,94.0,True,True,usable
227,62,162,45.0,55.0,224,179.0,169.0,True,True,good
228,126,189,,58.0,315,,257.0,False,True,very_early
229,20,120,,,140,,,False,False,miss
230,157,98,60.0,61.0,255,195.0,194.0,True,True,good
231,230,33,,61.0,263,,202.0,False,True,very_early
232,370,184,,60.0,554,,494.0,False,True,very_early
233,111,110,68.0,73.0,221,153.0,148.0,True,True,good
234,179,68,,58.0,247,,189.0,False,True,good
235,362,24,,58.0,386,,328.0,False,True,very_early
236,176,75,60.0,70.0,251,191.0,181.0,True,True,good
237,221,18,62.0,77.0,239,177.0,162.0,True,True,good
238,177,16,,58.0,193,,135.0,False,True,good
239,28,166,,25.0,194,,169.0,False,True,good
240,204,98,91.0,92.0,302,211.0,210.0,True,True,very_early
241,42,176,32.0,38.0,218,186.0,180.0,True,True,good
242,112,81,72.0,88.0,193,121.0,105.0,True,True,good
243,199,118,90.0,92.0,317,227.0,225.0,True,True,very_early
244,184,35,,58.0,219,,161.0,False,True,good
245,63,131,46.0,56.0,194,148.0,138.0,True,True,good
246,29,194,,26.0,223,,197.0,False,True,good
247,94,112,62.0,78.0,206,144.0,128.0,True,True,good
248,281,26,,71.0,307,,236.0,False,True,very_early
