unit,last_cycle,first_watch_cycle,first_alert_cycle,cycles_remaining_at_watch,cycles_remaining_at_alert,had_watch,had_alert
114,218,26.0,,192.0,,True,False
115,82,26.0,51.0,56.0,31.0,True,True
116,161,26.0,56.0,135.0,105.0,True,True
117,97,26.0,28.0,71.0,69.0,True,True
118,178,26.0,81.0,152.0,97.0,True,True
119,228,26.0,95.0,202.0,133.0,True,True
120,170,26.0,46.0,144.0,124.0,True,True
121,194,26.0,165.0,168.0,29.0,True,True
122,117,26.0,57.0,91.0,60.0,True,True
123,236,26.0,37.0,210.0,199.0,True,True
124,230,26.0,69.0,204.0,161.0,True,True
125,21,,,,,False,False
126,220,26.0,33.0,194.0,187.0,True,True
127,98,26.0,44.0,72.0,54.0,True,True
128,139,26.0,36.0,113.0,103.0,True,True
129,315,26.0,27.0,289.0,288.0,True,True
130,107,26.0,58.0,81.0,49.0,True,True
131,193,26.0,40.0,167.0,153.0,True,True
132,115,26.0,111.0,89.0,4.0,True,True
133,74,26.0,,48.0,,True,False
134,266,26.0,51.0,240.0,215.0,True,True
135,435,26.0,300.0,409.0,135.0,True,True
136,56,26.0,,30.0,,True,False
137,291,28.0,26.0,263.0,265.0,True,True
138,239,26.0,152.0,213.0,87.0,True,True
139,88,26.0,,62.0,,True,False
140,160,26.0,40.0,134.0,120.0,True,True
141,19,,,,,False,False
142,69,26.0,,43.0,,True,False
143,327,26.0,87.0,301.0,240.0,True,True
144,34,26.0,,8.0,,True,False
145,102,26.0,55.0,76.0,47.0,True,True
146,84,26.0,48.0,58.0,36.0,True,True
147,116,26.0,103.0,90.0,13.0,True,True
148,126,26.0,53.0,100.0,73.0,True,True
149,320,26.0,52.0,294.0,268.0,True,True
150,202,26.0,109.0,176.0,93.0,True,True
151,285,26.0,167.0,259.0,118.0,True,True
152,195,26.0,115.0,169.0,80.0,True,True
153,130,26.0,25.0,104.0,105.0,True,True
154,122,26.0,,96.0,,True,False
155,161,26.0,47.0,135.0,114.0,True,True
156,28,26.0,,2.0,,True,False
157,138,26.0,54.0,112.0,84.0,True,True
158,171,26.0,32.0,145.0,139.0,True,True
159,160,26.0,151.0,134.0,9.0,True,True
160,122,26.0,57.0,96.0,65.0,True,True
161,257,26.0,50.0,231.0,207.0,True,True
162,99,26.0,43.0,73.0,56.0,True,True
163,122,26.0,37.0,96.0,85.0,True,True
164,29,26.0,,3.0,,True,False
165,178,26.0,,152.0,,True,False
166,63,26.0,46.0,37.0,17.0,True,True
167,99,26.0,,73.0,,True,False
168,74,26.0,,48.0,,True,False
169,34,26.0,,8.0,,True,False
170,48,26.0,,22.0,,True,False
171,355,26.0,27.0,329.0,328.0,True,True
172,132,26.0,32.0,106.0,100.0,True,True
173,151,26.0,,125.0,,True,False
174,135,26.0,79.0,109.0,56.0,True,True
175,116,26.0,,90.0,,True,False
176,185,26.0,33.0,159.0,152.0,True,True
177,146,26.0,,120.0,,True,False
178,279,26.0,99.0,253.0,180.0,True,True
179,262,26.0,41.0,236.0,221.0,True,True
180,367,26.0,32.0,341.0,335.0,True,True
181,199,26.0,123.0,173.0,76.0,True,True
182,98,26.0,,72.0,,True,False
183,125,26.0,92.0,99.0,33.0,True,True
184,154,26.0,52.0,128.0,102.0,True,True
185,203,26.0,59.0,177.0,144.0,True,True
186,47,26.0,,21.0,,True,False
187,121,26.0,52.0,95.0,69.0,True,True
188,157,26.0,33.0,131.0,124.0,True,True
189,107,26.0,35.0,81.0,72.0,True,True
190,200,26.0,,174.0,,True,False
191,71,26.0,45.0,45.0,26.0,True,True
192,203,26.0,,177.0,,True,False
193,263,26.0,134.0,237.0,129.0,True,True
194,214,26.0,,188.0,,True,False
195,186,26.0,42.0,160.0,144.0,True,True
196,70,26.0,36.0,44.0,34.0,True,True
197,196,26.0,29.0,170.0,167.0,True,True
198,115,26.0,52.0,89.0,63.0,True,True
199,177,26.0,,151.0,,True,False
200,115,26.0,29.0,89.0,86.0,True,True
201,139,26.0,97.0,113.0,42.0,True,True
202,222,26.0,163.0,196.0,59.0,True,True
203,87,26.0,,61.0,,True,False
204,19,,,,,False,False
205,95,26.0,46.0,69.0,49.0,True,True
206,291,26.0,49.0,265.0,242.0,True,True
207,179,26.0,32.0,153.0,147.0,True,True
208,180,26.0,74.0,154.0,106.0,True,True
209,171,26.0,95.0,145.0,76.0,True,True
210,135,26.0,63.0,109.0,72.0,True,True
211,206,26.0,,180.0,,True,False
212,261,26.0,,235.0,,True,False
213,288,27.0,26.0,261.0,262.0,True,True
214,102,26.0,54.0,76.0,48.0,True,True
215,72,26.0,,46.0,,True,False
216,264,26.0,87.0,238.0,177.0,True,True
217,141,26.0,76.0,115.0,65.0,True,True
218,63,26.0,28.0,37.0,35.0,True,True
219,110,26.0,,84.0,,True,False
220,65,26.0,,39.0,,True,False
221,176,26.0,,150.0,,True,False
222,178,26.0,139.0,152.0,39.0,True,True
223,305,26.0,46.0,279.0,259.0,True,True
224,152,26.0,50.0,126.0,102.0,True,True
225,39,28.0,26.0,11.0,13.0,True,True
226,59,26.0,,33.0,,True,False
227,62,26.0,46.0,36.0,16.0,True,True
228,126,26.0,50.0,100.0,76.0,True,True
229,20,,,,,False,False
230,157,26.0,53.0,131.0,104.0,True,True
231,230,26.0,,204.0,,True,False
232,370,26.0,58.0,344.0,312.0,True,True
233,111,26.0,,85.0,,True,False
234,179,26.0,51.0,153.0,128.0,True,True
235,362,26.0,55.0,336.0,307.0,True,True
236,176,26.0,,150.0,,True,False
237,221,26.0,193.0,195.0,28.0,True,True
238,177,26.0,43.0,151.0,134.0,True,True
239,28,26.0,,2.0,,True,False
240,204,26.0,112.0,178.0,92.0,True,True
241,42,26.0,,16.0,,True,False
242,112,26.0,,86.0,,True,False
243,199,27.0,26.0,172.0,173.0,True,True
244,184,26.0,33.0,158.0,151.0,True,True
245,63,26.0,57.0,37.0,6.0,True,True
246,29,26.0,,3.0,,True,False
247,94,26.0,,68.0,,True,False
248,281,26.0,132.0,255.0,149.0,True,True
