unit_id,n_cycles,last_cycle,rul,true_failure_cycle,warning_cycle,true_lead_time,false_positive
103,224,42,9,51,56,,False
104,203,9,120,129,50,79,False
105,170,0,100,100,42,58,False
106,266,41,107,148,70,78,False
107,183,0,41,41,45,,False
108,304,0,153,153,90,63,False
109,325,42,126,168,88,80,False
110,186,42,59,101,46,55,False
111,297,42,18,60,81,,False
112,340,42,66,108,85,23,False
113,184,41,13,54,46,8,False
114,161,42,14,56,40,16,False
115,131,35,139,174,32,142,False
116,344,42,13,55,86,,False
117,342,42,75,117,93,24,False
118,543,42,8,50,141,,False
119,187,42,109,151,46,105,False
120,177,42,137,179,46,133,False
121,194,42,41,83,48,35,False
122,174,25,192,217,43,174,False
123,226,42,23,65,56,9,False
124,170,42,86,128,42,86,False
125,239,42,184,226,68,158,False
126,302,42,15,57,75,,False
127,235,42,195,237,102,135,False
128,248,42,126,168,87,81,False
129,190,10,120,130,59,71,False
130,166,10,165,175,45,130,False
131,370,0,101,101,92,9,False
132,254,10,116,126,70,56,False
133,489,42,126,168,126,42,False
134,247,20,36,56,63,,False
135,149,42,7,49,37,12,False
136,205,0,122,122,51,71,False
137,225,41,159,200,56,144,False
138,178,42,88,130,67,63,False
139,251,42,173,215,62,153,False
140,298,41,146,187,74,113,False
141,199,42,130,172,49,123,False
142,209,0,108,108,52,56,False
143,184,42,53,95,46,49,False
144,297,41,162,203,81,122,False
145,228,42,59,101,57,44,False
146,303,9,100,109,84,25,False
147,234,42,56,98,58,40,False
148,193,42,145,187,48,139,False
149,261,42,76,118,65,53,False
150,149,9,57,66,37,29,False
151,351,0,31,31,87,,False
152,262,34,88,122,65,57,False
153,168,25,173,198,42,156,False
154,203,35,34,69,55,14,False
155,295,42,7,49,73,,False
156,139,0,133,133,34,99,False
157,298,0,172,172,74,98,False
158,399,42,6,48,99,,False
159,288,0,22,22,72,,False
160,187,25,83,108,48,60,False
161,303,0,82,82,75,7,False
162,313,42,84,126,78,48,False
163,285,41,95,136,72,64,False
164,380,35,174,209,95,114,False
165,255,0,111,111,63,48,False
166,269,42,72,114,67,47,False
167,263,10,109,119,65,54,False
168,196,42,87,129,61,68,False
169,227,0,179,179,61,118,False
170,161,19,158,177,40,137,False
171,399,42,126,168,116,52,False
172,273,42,12,54,76,,False
173,457,42,8,50,114,,False
174,370,42,10,52,92,,False
175,156,9,123,132,39,93,False
176,180,42,103,145,45,100,False
177,242,41,12,53,68,,False
178,170,42,106,148,42,106,False
179,435,10,12,22,108,,False
180,344,41,32,73,86,,False
181,134,0,37,37,33,4,False
182,205,41,116,157,51,106,False
183,190,42,15,57,61,,False
184,379,42,10,52,94,,False
185,259,35,46,81,64,17,False
186,163,0,142,142,40,102,False
187,273,10,24,34,68,,False
188,254,10,135,145,75,70,False
189,239,42,56,98,59,39,False
190,381,34,43,77,107,,False
191,297,42,178,220,74,146,False
192,190,42,71,113,47,66,False
193,197,42,104,146,49,97,False
194,145,10,15,25,36,,False
195,159,41,166,207,39,168,False
196,174,42,89,131,43,88,False
197,170,10,36,46,42,4,False
198,164,10,11,21,41,,False
199,176,41,92,133,46,87,False
200,225,42,96,138,75,63,False
201,378,0,59,59,94,,False
202,241,10,13,23,60,,False
203,324,41,167,208,81,127,False
204,211,42,151,193,55,138,False
205,242,41,154,195,60,135,False
206,263,10,109,119,65,54,False
207,379,42,116,158,94,64,False
208,290,42,91,133,72,61,False
209,161,41,11,52,40,12,False
210,167,42,88,130,46,84,False
211,146,42,108,150,36,114,False
212,229,42,76,118,61,57,False
213,197,20,14,34,49,,False
214,128,0,89,89,33,56,False
215,361,41,145,186,90,96,False
216,244,42,17,59,61,,False
217,200,25,66,91,50,41,False
218,236,10,154,164,62,102,False
219,190,0,41,41,47,,False
220,202,41,182,223,50,173,False
221,274,42,73,115,68,47,False
222,202,0,39,39,59,,False
223,247,10,58,68,61,7,False
224,268,42,14,56,70,,False
225,418,9,145,154,104,50,False
226,194,0,88,88,48,40,False
227,287,35,162,197,71,126,False
228,279,35,189,224,69,155,False
229,280,20,120,140,70,70,False
230,250,42,98,140,62,78,False
231,194,42,33,75,48,27,False
232,273,42,184,226,68,158,False
233,289,42,110,152,73,79,False
234,207,42,68,110,51,59,False
235,199,41,24,65,49,16,False
236,225,41,75,116,56,60,False
237,212,42,18,60,58,2,False
238,187,42,16,58,46,12,False
239,365,0,166,166,91,75,False
240,149,41,98,139,42,97,False
241,332,35,176,211,83,128,False
242,222,42,81,123,55,68,False
243,327,42,118,160,81,79,False
244,267,42,35,77,90,,False
245,205,10,131,141,51,90,False
246,161,25,194,219,40,179,False
247,211,42,112,154,56,98,False
248,184,0,26,26,83,,False
