t,file_name,raw_state,drift,drift_smooth,state,state_num
47,2004.02.12.18.12.39,WATCH,2.5218,2.331736,STABLE,0
48,2004.02.12.18.22.39,WATCH,2.9047,2.447924,STABLE,0
49,2004.02.12.18.32.39,WATCH,2.7943,2.4997439999999997,STABLE,0
50,2004.02.12.18.42.39,WATCH,2.7748,2.4792240000000003,STABLE,0
51,2004.02.12.18.52.39,WATCH,2.4597,2.416208,STABLE,0
52,2004.02.12.19.02.39,WATCH,3.1184,2.457192,STABLE,0
53,2004.02.12.19.12.39,WATCH,3.3847,2.5189679999999997,STABLE,0
54,2004.02.12.19.22.39,ALERT,5.7619,2.696668,STABLE,0
55,2004.02.12.19.32.39,WATCH,2.8375,2.75594,STABLE,0
56,2004.02.12.19.42.39,WATCH,2.8398,2.79852,STABLE,0
57,2004.02.12.19.52.39,WATCH,2.8406,2.8213120000000003,STABLE,0
58,2004.02.12.20.02.39,WATCH,3.2507,2.862272,STABLE,0
59,2004.02.12.20.12.39,WATCH,2.0703,2.858752,STABLE,0
60,2004.02.12.20.22.39,WATCH,2.8408,2.8564160000000003,STABLE,0
61,2004.02.12.20.32.39,WATCH,3.4744,2.8886559999999997,STABLE,0
62,2004.02.12.20.42.39,WATCH,2.3499,2.89026,STABLE,0
63,2004.02.12.20.52.39,WATCH,2.4474,2.900912,STABLE,0
64,2004.02.12.21.02.39,WATCH,2.5923,2.9018,STABLE,0
65,2004.02.12.21.12.39,WATCH,2.3685,2.8989439999999997,STABLE,0
66,2004.02.12.21.22.39,WATCH,2.7906,2.910408,STABLE,0
67,2004.02.12.21.32.39,WATCH,2.6707,2.9394240000000003,STABLE,0
68,2004.02.12.21.42.39,WATCH,3.7046,2.983836,STABLE,0
69,2004.02.12.21.52.39,WATCH,2.5159,2.958116,STABLE,0
70,2004.02.12.22.02.39,WATCH,3.739,2.9595279999999997,STABLE,0
71,2004.02.12.22.12.39,WATCH,3.9652,3.00074,STABLE,0
72,2004.02.12.22.22.39,WATCH,2.9861,3.0193119999999998,STABLE,0
73,2004.02.12.22.32.39,WATCH,3.9999,3.0631199999999996,STABLE,0
74,2004.02.12.22.42.39,WATCH,4.5165,3.1320080000000003,STABLE,0
75,2004.02.12.22.52.39,WATCH,5.3198,3.2338080000000002,STABLE,0
76,2004.02.12.23.02.39,WATCH,4.7974,3.327316,STABLE,0
77,2004.02.12.23.12.39,WATCH,5.0613,3.405032,STABLE,0
78,2004.02.12.23.22.39,WATCH,2.9368,3.387116,STABLE,0
79,2004.02.12.23.32.39,WATCH,3.4342,3.294008,STABLE,0
80,2004.02.12.23.42.39,WATCH,3.7708,3.33134,STABLE,0
81,2004.02.12.23.52.39,WATCH,3.0769,3.340824,STABLE,0
82,2004.02.13.00.02.39,WATCH,2.7649,3.3377959999999995,STABLE,0
83,2004.02.13.00.12.39,WATCH,2.836,3.321208,STABLE,0
84,2004.02.13.00.22.39,WATCH,3.3388,3.3719479999999997,STABLE,0
85,2004.02.13.00.32.39,WATCH,3.5697,3.4011039999999997,STABLE,0
86,2004.02.13.00.42.39,WATCH,3.6699,3.4089240000000003,STABLE,0
87,2004.02.13.00.52.39,WATCH,7.4705,3.6137479999999997,STABLE,0
88,2004.02.13.01.02.39,WATCH,5.0106,3.7162759999999997,STABLE,0
89,2004.02.13.01.12.39,WATCH,5.8191,3.845348,STABLE,0
90,2004.02.13.01.22.39,WATCH,3.1889,3.8781640000000004,STABLE,0
91,2004.02.13.01.32.39,WATCH,2.8888,3.8820919999999997,STABLE,0
92,2004.02.13.01.42.39,WATCH,7.3826,4.070568,STABLE,0
93,2004.02.13.01.52.39,WATCH,5.0653,4.124995999999999,STABLE,0
94,2004.02.13.02.02.39,WATCH,3.6939,4.172116,STABLE,0
95,2004.02.13.02.12.39,WATCH,4.4985,4.202496,STABLE,0
96,2004.02.13.02.22.39,WATCH,3.2234,4.172824,STABLE,0
97,2004.02.13.02.32.39,WATCH,4.5191,4.234144,STABLE,0
98,2004.02.13.02.42.39,WATCH,4.9492,4.2721160000000005,STABLE,0
99,2004.02.13.02.52.39,WATCH,4.6524,4.277552,STABLE,0
100,2004.02.13.03.02.39,WATCH,3.9572,4.223048,STABLE,0
101,2004.02.13.03.12.39,WATCH,2.8289,4.144308,STABLE,0
102,2004.02.13.03.22.39,WATCH,4.0204,4.102672,STABLE,0
103,2004.02.13.03.32.39,WATCH,3.618,4.129919999999999,STABLE,0
104,2004.02.13.03.42.39,WATCH,4.0365,4.154012,STABLE,0
105,2004.02.13.03.52.39,WATCH,3.9553,4.161391999999999,STABLE,0
106,2004.02.13.04.02.39,WATCH,3.6973,4.186208000000001,STABLE,0
107,2004.02.13.04.12.39,WATCH,3.4022,4.2117,STABLE,0
108,2004.02.13.04.22.39,WATCH,3.3209,4.231096,STABLE,0
109,2004.02.13.04.32.39,WATCH,4.4558,4.2757760000000005,STABLE,0
110,2004.02.13.04.42.39,WATCH,3.2591,4.263352,STABLE,0
111,2004.02.13.04.52.39,WATCH,3.483,4.255876,STABLE,0
112,2004.02.13.05.02.39,WATCH,3.3048,4.089248,STABLE,0
113,2004.02.13.05.12.39,WATCH,2.7498,3.9988160000000006,STABLE,0
114,2004.02.13.05.22.39,WATCH,3.7873,3.917544,STABLE,0
115,2004.02.13.05.32.39,WATCH,3.495,3.929788,STABLE,0
116,2004.02.13.05.42.39,WATCH,2.7203,3.923048,STABLE,0
117,2004.02.13.05.52.39,STABLE,3.2157,3.7563720000000003,STABLE,0
118,2004.02.13.06.02.39,WATCH,2.8069,3.666036,STABLE,0
119,2004.02.13.06.12.39,WATCH,3.0915,3.64194,STABLE,0
120,2004.02.13.06.22.39,WATCH,3.0086,3.582344,STABLE,0
121,2004.02.13.06.32.39,WATCH,5.6097,3.6777960000000003,STABLE,0
122,2004.02.13.06.42.39,WATCH,3.5738,3.639984,STABLE,0
123,2004.02.13.06.52.39,WATCH,4.0143,3.602588,STABLE,0
124,2004.02.13.07.02.39,WATCH,2.7768,3.527564,STABLE,0
125,2004.02.13.07.12.39,WATCH,3.7776,3.5203800000000003,STABLE,0
126,2004.02.13.07.22.39,WATCH,4.8705,3.6020440000000002,STABLE,0
127,2004.02.13.07.32.39,WATCH,3.7898,3.5928199999999997,STABLE,0
128,2004.02.13.07.42.39,WATCH,3.4187,3.584848,STABLE,0
129,2004.02.13.07.52.39,WATCH,4.2017,3.591456,STABLE,0
130,2004.02.13.08.02.39,ALERT,6.8077,3.705552,STABLE,0
131,2004.02.13.08.12.39,ALERT,5.6333,3.7829919999999997,STABLE,0
132,2004.02.13.08.22.39,WATCH,3.301,3.778944,STABLE,0
133,2004.02.13.08.32.39,WATCH,3.9729,3.8050240000000004,STABLE,0
134,2004.02.13.08.42.39,WATCH,2.7172,3.73548,STABLE,0
135,2004.02.13.08.52.39,WATCH,3.6168,3.7497880000000006,STABLE,0
136,2004.02.13.09.02.39,WATCH,2.7482,3.720396,STABLE,0
137,2004.02.13.09.12.39,WATCH,2.6533,3.6943360000000003,STABLE,0
138,2004.02.13.09.22.39,WATCH,3.0511,3.706388,STABLE,0
139,2004.02.13.09.32.39,WATCH,2.9887,3.6744440000000003,STABLE,0
140,2004.02.13.09.42.39,WATCH,3.304,3.6668040000000004,STABLE,0
141,2004.02.13.09.52.39,WATCH,3.7453,3.7078040000000003,STABLE,0
142,2004.02.13.10.02.39,WATCH,2.6833,3.686508,STABLE,0
143,2004.02.13.10.12.39,WATCH,3.293,3.705952,STABLE,0
144,2004.02.13.10.22.39,WATCH,2.9788,3.7014440000000004,STABLE,0
145,2004.02.13.10.32.39,WATCH,3.0068,3.701372,STABLE,0
146,2004.02.13.10.42.39,WATCH,3.8299,3.6301799999999997,STABLE,0
147,2004.02.13.10.52.39,WATCH,3.9532,3.6453560000000005,STABLE,0
148,2004.02.13.11.02.39,WATCH,3.9758,3.6438159999999997,STABLE,0
149,2004.02.13.11.12.39,WATCH,6.389,3.788304,STABLE,0
150,2004.02.13.11.22.39,WATCH,6.1509,3.883236,STABLE,0
151,2004.02.13.11.32.39,WATCH,5.311,3.900856,STABLE,0
152,2004.02.13.11.42.39,WATCH,4.2009,3.9173,STABLE,0
153,2004.02.13.11.52.39,WATCH,3.1709,3.907388,STABLE,0
154,2004.02.13.12.02.39,WATCH,2.7659,3.849956,STABLE,0
155,2004.02.13.12.12.39,WATCH,3.1563,3.7039000000000004,STABLE,0
156,2004.02.13.12.22.39,WATCH,4.2492,3.6485359999999996,STABLE,0
157,2004.02.13.12.32.39,WATCH,3.8204,3.6693119999999997,STABLE,0
158,2004.02.13.12.42.39,WATCH,4.1946,3.67818,STABLE,0
159,2004.02.13.12.52.39,WATCH,2.6502,3.6754999999999995,STABLE,0
160,2004.02.13.13.02.39,WATCH,4.5082,3.711156,STABLE,0
161,2004.02.13.13.12.39,WATCH,3.6212,3.746076,STABLE,0
162,2004.02.13.13.22.39,WATCH,4.7533,3.830076,STABLE,0
163,2004.02.13.13.32.39,WATCH,4.5681,3.890756,STABLE,0
164,2004.02.13.13.42.39,WATCH,3.1325,3.896508,STABLE,0
165,2004.02.13.13.52.39,WATCH,3.6584,3.910684,STABLE,0
166,2004.02.13.14.02.39,WATCH,3.0039,3.881028,STABLE,0
167,2004.02.13.14.12.39,WATCH,4.327,3.946776,STABLE,0
168,2004.02.13.14.22.39,WATCH,3.4474,3.9529520000000002,STABLE,0
169,2004.02.13.14.32.39,WATCH,4.624,4.018759999999999,STABLE,0
170,2004.02.13.14.42.39,WATCH,4.3277,4.071596,STABLE,0
171,2004.02.13.14.52.39,WATCH,4.4269,4.095476,STABLE,0
172,2004.02.13.15.02.39,WATCH,3.4135,4.073887999999999,STABLE,0
173,2004.02.13.15.12.39,WATCH,4.7175,4.103556,STABLE,0
174,2004.02.13.15.22.39,WATCH,4.2493,4.017968,STABLE,0
175,2004.02.13.15.32.39,WATCH,4.2448,3.941724,STABLE,0
176,2004.02.13.15.42.39,WATCH,3.75,3.879284,STABLE,0
177,2004.02.13.15.52.39,WATCH,4.1943,3.8790199999999997,STABLE,0
178,2004.02.13.16.02.39,WATCH,3.7088,3.900536,STABLE,0
179,2004.02.13.16.12.39,WATCH,3.658,3.9362199999999996,STABLE,0
180,2004.02.13.16.22.39,WATCH,3.7697,3.9607559999999995,STABLE,0
181,2004.02.13.16.32.39,WATCH,5.2552,4.000996,STABLE,0
182,2004.02.13.16.42.39,WATCH,3.6674,3.9948759999999996,STABLE,0
183,2004.02.13.16.52.39,WATCH,3.9784,3.9862280000000005,STABLE,0
184,2004.02.13.17.02.39,WATCH,7.0202,4.161028,STABLE,0
185,2004.02.13.17.12.39,WATCH,5.6634,4.207236,STABLE,0
186,2004.02.13.17.22.39,WATCH,6.2024,4.310484,STABLE,0
187,2004.02.13.17.32.39,WATCH,4.009,4.280711999999999,STABLE,0
188,2004.02.13.17.42.39,WATCH,5.551,4.320028000000001,STABLE,0
189,2004.02.13.17.52.39,WATCH,4.1389,4.360284,STABLE,0
190,2004.02.13.18.02.39,WATCH,4.1833,4.38128,STABLE,0
191,2004.02.13.18.12.39,WATCH,4.083,4.424443999999999,STABLE,0
192,2004.02.13.18.22.39,WATCH,4.55,4.433364,STABLE,0
193,2004.02.13.18.32.39,WATCH,5.7416,4.525132,STABLE,0
194,2004.02.13.18.42.39,WATCH,6.3197,4.59296,STABLE,0
195,2004.02.13.18.52.39,WATCH,5.6897,4.64744,STABLE,0
196,2004.02.13.19.02.39,WATCH,4.4742,4.649332,STABLE,0
197,2004.02.13.19.12.39,WATCH,3.7374,4.662288,STABLE,0
198,2004.02.13.19.22.39,WATCH,3.4308,4.61082,STABLE,0
199,2004.02.13.19.32.39,WATCH,3.3904,4.5764640000000005,STABLE,0
200,2004.02.13.19.42.39,WATCH,3.1656,4.533296,STABLE,0
201,2004.02.13.19.52.39,WATCH,2.728,4.492416,STABLE,0
202,2004.02.13.20.02.39,WATCH,3.7335,4.473984000000001,STABLE,0
203,2004.02.13.20.12.39,WATCH,3.6354,4.471048,STABLE,0
204,2004.02.13.20.22.39,WATCH,2.8781,4.439852,STABLE,0
205,2004.02.13.20.32.39,WATCH,3.4112,4.425512,STABLE,0
206,2004.02.13.20.42.39,WATCH,4.7213,4.404156,STABLE,0
207,2004.02.13.20.52.39,WATCH,4.0066,4.417724,STABLE,0
208,2004.02.13.21.02.39,WATCH,4.177,4.425668,STABLE,0
209,2004.02.13.21.12.39,WATCH,5.1188,4.349612,STABLE,0
210,2004.02.13.21.22.39,WATCH,4.9883,4.322608,STABLE,0
211,2004.02.13.21.32.39,WATCH,5.2576,4.284816,STABLE,0
212,2004.02.13.21.42.39,WATCH,4.3125,4.296956,STABLE,0
213,2004.02.13.21.52.39,WATCH,5.6933,4.302648,STABLE,0
214,2004.02.13.22.02.39,WATCH,4.8728,4.332004,STABLE,0
215,2004.02.13.22.12.39,WATCH,5.2873,4.376164,STABLE,0
216,2004.02.13.22.22.39,WATCH,3.5743,4.355816000000001,STABLE,0
217,2004.02.13.22.32.39,WATCH,4.4783,4.3529480000000005,STABLE,0
218,2004.02.13.22.42.39,WATCH,4.6793,4.310455999999999,STABLE,0
219,2004.02.13.22.52.39,WATCH,4.0,4.217668,STABLE,0
220,2004.02.13.23.02.39,WATCH,4.0413,4.151732,STABLE,0
221,2004.02.13.23.12.39,WATCH,4.3077,4.145072,STABLE,0
222,2004.02.13.23.22.39,WATCH,3.7125,4.144076,STABLE,0
223,2004.02.13.23.32.39,WATCH,3.2913,4.138496,STABLE,0
224,2004.02.13.23.42.39,WATCH,2.2975,4.094779999999999,STABLE,0
225,2004.02.13.23.52.39,WATCH,3.2668,4.098828,STABLE,0
226,2004.02.14.00.02.39,WATCH,2.8161,4.102352,STABLE,0
227,2004.02.14.00.12.39,WATCH,3.4818,4.092283999999999,STABLE,0
228,2004.02.14.00.22.39,WATCH,3.7177,4.095576,STABLE,0
229,2004.02.14.00.32.39,WATCH,4.0543,4.1426240000000005,STABLE,0
230,2004.02.14.00.42.39,WATCH,3.602,4.150256,STABLE,0
231,2004.02.14.00.52.39,WATCH,3.9608,4.119835999999999,STABLE,0
232,2004.02.14.01.02.39,WATCH,3.9401,4.117176,STABLE,0
233,2004.02.14.01.12.39,WATCH,4.3746,4.12508,STABLE,0
234,2004.02.14.01.22.39,WATCH,4.2906,4.091952,STABLE,0
235,2004.02.14.01.32.39,WATCH,4.4463,4.070272,STABLE,0
236,2004.02.14.01.42.39,WATCH,5.3032,4.072095999999999,STABLE,0
237,2004.02.14.01.52.39,WATCH,2.6315,4.004856,STABLE,0
238,2004.02.14.02.02.39,WATCH,3.7074,3.9254200000000004,STABLE,0
239,2004.02.14.02.12.39,WATCH,3.7633,3.8810400000000005,STABLE,0
240,2004.02.14.02.22.39,WATCH,3.9485,3.8274880000000002,STABLE,0
241,2004.02.14.02.32.39,WATCH,4.1733,3.8514479999999995,STABLE,0
242,2004.02.14.02.42.39,WATCH,5.6707,3.899144,STABLE,0
243,2004.02.14.02.52.39,ALERT,5.0909,3.915608,STABLE,0
244,2004.02.14.03.02.39,WATCH,4.789,3.9471680000000005,STABLE,0
245,2004.02.14.03.12.39,WATCH,4.6088,3.969868,STABLE,0
246,2004.02.14.03.22.39,WATCH,4.3026,3.9696640000000003,STABLE,0
247,2004.02.14.03.32.39,WATCH,4.2356,3.990588,STABLE,0
248,2004.02.14.03.42.39,WATCH,4.2146,4.02752,STABLE,0
249,2004.02.14.03.52.39,WATCH,2.9619,4.054096,STABLE,0
250,2004.02.14.04.02.39,WATCH,3.8393,4.076995999999999,STABLE,0
251,2004.02.14.04.12.39,STABLE,4.1209,4.129188,STABLE,0
252,2004.02.14.04.22.39,WATCH,6.6417,4.255584,STABLE,0
253,2004.02.14.04.32.39,WATCH,5.3149,4.319471999999999,STABLE,0
254,2004.02.14.04.42.39,WATCH,4.078,4.3204199999999995,STABLE,0
255,2004.02.14.04.52.39,WATCH,3.6544,4.322516,STABLE,0
256,2004.02.14.05.02.39,WATCH,3.8069,4.31636,STABLE,0
257,2004.02.14.05.12.39,WATCH,3.557,4.301036,STABLE,0
258,2004.02.14.05.22.39,WATCH,5.2073,4.334344,STABLE,0
259,2004.02.14.05.32.39,WATCH,4.5328,4.344032,STABLE,0
260,2004.02.14.05.42.39,WATCH,4.8139,4.358736,STABLE,0
261,2004.02.14.05.52.39,WATCH,4.8194,4.339384,STABLE,0
262,2004.02.14.06.02.39,WATCH,5.3311,4.447368,STABLE,0
263,2004.02.14.06.12.39,WATCH,6.4034,4.5552079999999995,STABLE,0
264,2004.02.14.06.22.39,WATCH,4.3562,4.578924,STABLE,0
265,2004.02.14.06.32.39,WATCH,4.5153,4.601596,STABLE,0
266,2004.02.14.06.42.39,WATCH,3.5472,4.5765519999999995,STABLE,0
267,2004.02.14.06.52.39,WATCH,4.1612,4.516172,STABLE,0
268,2004.02.14.07.02.39,WATCH,5.3928,4.528248,STABLE,0
269,2004.02.14.07.12.39,WATCH,3.5464,4.478544,STABLE,0
270,2004.02.14.07.22.39,WATCH,3.5637,4.4367399999999995,STABLE,0
271,2004.02.14.07.32.39,WATCH,4.3737,4.439584,STABLE,0
272,2004.02.14.07.42.39,WATCH,3.6723,4.417052000000001,STABLE,0
273,2004.02.14.07.52.39,WATCH,3.7949,4.400264,STABLE,0
274,2004.02.14.08.02.39,WATCH,3.8879,4.437304,STABLE,0
275,2004.02.14.08.12.39,WATCH,3.5223,4.424624000000001,STABLE,0
276,2004.02.14.08.22.39,WATCH,3.2915,4.3914480000000005,STABLE,0
277,2004.02.14.08.32.39,WATCH,3.6991,4.273744000000001,STABLE,0
278,2004.02.14.08.42.39,WATCH,4.5157,4.241776000000001,STABLE,0
279,2004.02.14.08.52.39,WATCH,5.7609,4.309092,STABLE,0
280,2004.02.14.09.02.39,WATCH,5.3499,4.376912000000001,STABLE,0
281,2004.02.14.09.12.39,WATCH,4.0552,4.386844,STABLE,0
282,2004.02.14.09.22.39,WATCH,3.1195,4.369344000000001,STABLE,0
283,2004.02.14.09.32.39,WATCH,4.1107,4.32548,STABLE,0
284,2004.02.14.09.42.39,WATCH,5.0606,4.346592,STABLE,0
285,2004.02.14.09.52.39,WATCH,4.0706,4.31686,STABLE,0
286,2004.02.14.10.02.39,WATCH,4.874,4.319044,STABLE,0
287,2004.02.14.10.12.39,WATCH,3.8259,4.258836,STABLE,0
288,2004.02.14.10.22.39,WATCH,4.6518,4.188772,STABLE,0
289,2004.02.14.10.32.39,WATCH,4.1736,4.181468000000001,STABLE,0
290,2004.02.14.10.42.39,WATCH,4.2044,4.169032,STABLE,0
291,2004.02.14.10.52.39,WATCH,5.0443,4.228916000000001,STABLE,0
292,2004.02.14.11.02.39,WATCH,3.5839,4.205824,STABLE,0
293,2004.02.14.11.12.39,WATCH,3.0974,4.114008,STABLE,0
294,2004.02.14.11.22.39,WATCH,3.0369,4.093628,STABLE,0
295,2004.02.14.11.32.39,WATCH,3.3598,4.085471999999999,STABLE,0
296,2004.02.14.11.42.39,WATCH,3.7378,4.060036,STABLE,0
297,2004.02.14.11.52.39,WATCH,3.2128,4.041656,STABLE,0
298,2004.02.14.12.02.39,WATCH,3.061,4.0123,STABLE,0
299,2004.02.14.12.12.39,WATCH,3.115,3.981384,STABLE,0
300,2004.02.14.12.22.39,WATCH,3.2884,3.972028,STABLE,0
301,2004.02.14.12.32.39,WATCH,3.4562,3.9786159999999997,STABLE,0
302,2004.02.14.12.42.39,WATCH,3.4923,3.970344,STABLE,0
303,2004.02.14.12.52.39,WATCH,3.3863,3.9251679999999998,STABLE,0
304,2004.02.14.13.02.39,WATCH,3.8827,3.8500400000000004,STABLE,0
305,2004.02.14.13.12.39,WATCH,5.0898,3.839636,STABLE,0
306,2004.02.14.13.22.39,WATCH,5.2121,3.8859120000000003,STABLE,0
307,2004.02.14.13.32.39,WATCH,5.489,3.9806919999999995,STABLE,0
308,2004.02.14.13.42.39,WATCH,4.8253,4.009276,STABLE,0
309,2004.02.14.13.52.39,WATCH,4.9429,4.004568,STABLE,0
310,2004.02.14.14.02.39,WATCH,5.721,4.070584,STABLE,0
311,2004.02.14.14.12.39,WATCH,4.0121,4.036108,STABLE,0
312,2004.02.14.14.22.39,WATCH,4.2385,4.052612,STABLE,0
313,2004.02.14.14.32.39,WATCH,4.1748,4.033532,STABLE,0
314,2004.02.14.14.42.39,WATCH,5.6721,4.093472,STABLE,0
315,2004.02.14.14.52.39,WATCH,7.9447,4.243084,STABLE,0
316,2004.02.14.15.02.39,ALERT,6.3362,4.29476,STABLE,0
317,2004.02.14.15.12.39,WATCH,6.8039,4.42356,STABLE,0
318,2004.02.14.15.22.39,WATCH,4.7584,4.49,STABLE,0
319,2004.02.14.15.32.39,WATCH,4.0062,4.528772,STABLE,0
320,2004.02.14.15.42.39,WATCH,3.9875,4.55388,STABLE,0
321,2004.02.14.15.52.39,WATCH,4.1077,4.568676,STABLE,0
322,2004.02.14.16.02.39,WATCH,6.5343,4.701536,STABLE,0
323,2004.02.14.16.12.39,WATCH,5.6107,4.803524,STABLE,0
324,2004.02.14.16.22.39,WATCH,5.2079,4.88724,STABLE,0
325,2004.02.14.16.32.39,WATCH,4.7013,4.9437560000000005,STABLE,0
326,2004.02.14.16.42.39,WATCH,4.5971,4.9893920000000005,STABLE,0
327,2004.02.14.16.52.39,WATCH,5.2509,5.059736,STABLE,0
328,2004.02.14.17.02.39,WATCH,3.7671,5.074968,STABLE,0
329,2004.02.14.17.12.39,WATCH,4.6428,5.105372,STABLE,0
330,2004.02.14.17.22.39,WATCH,4.0522,5.063868,STABLE,0
331,2004.02.14.17.32.39,WATCH,3.5508,4.997416,STABLE,0
332,2004.02.14.17.42.39,WATCH,4.2519,4.947932,STABLE,0
333,2004.02.14.17.52.39,WATCH,3.8438,4.908671999999999,STABLE,0
334,2004.02.14.18.02.39,WATCH,5.0267,4.912024,STABLE,0
335,2004.02.14.18.12.39,ALERT,5.6984,4.9111199999999995,STABLE,0
336,2004.02.14.18.22.39,WATCH,5.1165,4.955296000000001,STABLE,0
337,2004.02.14.18.32.39,WATCH,4.709,4.974116,STABLE,0
338,2004.02.14.18.42.39,WATCH,5.1962,5.014972,STABLE,0
339,2004.02.14.18.52.39,WATCH,5.0358,4.98952,STABLE,0
340,2004.02.14.19.02.39,WATCH,6.094,4.9154919999999995,STABLE,0
341,2004.02.14.19.12.39,WATCH,5.9718,4.900916,STABLE,0
342,2004.02.14.19.22.39,WATCH,6.238,4.87828,STABLE,0
343,2004.02.14.19.32.39,WATCH,5.0695,4.8907240000000005,STABLE,0
344,2004.02.14.19.42.39,WATCH,3.62,4.875276,STABLE,0
345,2004.02.14.19.52.39,WATCH,4.0582,4.878104,STABLE,0
346,2004.02.14.20.02.39,WATCH,4.6219,4.898672,STABLE,0
347,2004.02.14.20.12.39,WATCH,5.185,4.8447000000000005,STABLE,0
348,2004.02.14.20.22.39,WATCH,4.0925,4.783972,STABLE,0
349,2004.02.14.20.32.39,WATCH,4.117,4.740336,STABLE,0
350,2004.02.14.20.42.39,WATCH,5.3601,4.766687999999999,STABLE,0
351,2004.02.14.20.52.39,WATCH,6.0353,4.824216,STABLE,0
352,2004.02.14.21.02.39,WATCH,5.6578,4.840492,STABLE,0
353,2004.02.14.21.12.39,WATCH,5.4903,4.90942,STABLE,0
354,2004.02.14.21.22.39,WATCH,5.3796,4.938892,STABLE,0
355,2004.02.14.21.32.39,WATCH,5.5444,4.9985800000000005,STABLE,0
356,2004.02.14.21.42.39,WATCH,6.3419,5.110224,STABLE,0
357,2004.02.14.21.52.39,WATCH,4.622,5.1250279999999995,STABLE,0
358,2004.02.14.22.02.39,WATCH,4.266,5.141916,STABLE,0
359,2004.02.14.22.12.39,WATCH,4.5606,5.123271999999999,STABLE,0
360,2004.02.14.22.22.39,WATCH,5.2335,5.104676,STABLE,0
361,2004.02.14.22.32.39,WATCH,5.3524,5.114112,STABLE,0
362,2004.02.14.22.42.39,WATCH,4.5603,5.1081639999999995,STABLE,0
363,2004.02.14.22.52.39,WATCH,4.4573,5.078608,STABLE,0
364,2004.02.14.23.02.39,WATCH,4.5358,5.0586079999999995,STABLE,0
365,2004.02.14.23.12.39,WATCH,5.2646,5.025432,STABLE,0
366,2004.02.14.23.22.39,WATCH,5.8736,5.021504,STABLE,0
367,2004.02.14.23.32.39,WATCH,5.1955,4.979804000000001,STABLE,0
