unit,last_cycle,true_rul,watch_cycle,alert_cycle,failure_cycle,watch_lead,alert_lead,has_watch,has_alert,alert_quality
51,137,119,61.0,,256,195.0,,True,False,miss
52,58,151,43.0,,209,166.0,,True,False,miss
53,67,142,48.0,,209,161.0,,True,False,miss
54,81,176,58.0,,257,199.0,,True,False,miss
55,103,157,74.0,102.0,260,186.0,158.0,True,True,good
56,180,67,60.0,69.0,247,187.0,178.0,True,True,good
57,121,97,60.0,,218,158.0,,True,False,miss
58,185,8,60.0,103.0,193,133.0,90.0,True,True,usable
59,37,154,29.0,,191,162.0,,True,False,miss
60,135,139,96.0,,274,178.0,,True,False,miss
61,396,51,69.0,138.0,447,378.0,309.0,True,True,very_early
62,240,33,90.0,215.0,273,183.0,58.0,True,True,usable
63,158,184,60.0,158.0,342,282.0,184.0,True,True,good
64,251,46,60.0,245.0,297,237.0,52.0,True,True,usable
65,186,12,82.0,184.0,198,116.0,14.0,True,True,last_minute
66,97,133,60.0,,230,170.0,,True,False,miss
67,150,46,60.0,,196,136.0,,True,False,miss
68,241,46,60.0,69.0,287,227.0,218.0,True,True,very_early
69,162,12,60.0,66.0,174,114.0,108.0,True,True,good
70,190,33,60.0,,223,163.0,,True,False,miss
71,292,15,61.0,75.0,307,246.0,232.0,True,True,very_early
72,118,176,60.0,,294,234.0,,True,False,miss
73,149,23,73.0,,172,99.0,,True,False,miss
74,223,89,81.0,192.0,312,231.0,120.0,True,True,good
75,203,124,60.0,,327,267.0,,True,False,miss
76,48,163,36.0,,211,175.0,,True,False,miss
77,108,25,66.0,,133,67.0,,True,False,miss
78,106,74,64.0,,180,116.0,,True,False,miss
79,184,78,60.0,128.0,262,202.0,134.0,True,True,good
80,112,114,60.0,,226,166.0,,True,False,miss
81,60,96,44.0,,156,112.0,,True,False,miss
82,146,10,76.0,117.0,156,80.0,39.0,True,True,usable
83,274,172,76.0,,446,370.0,,True,False,miss
84,88,166,60.0,,254,194.0,,True,False,miss
85,174,115,78.0,88.0,289,211.0,201.0,True,True,very_early
86,254,70,60.0,119.0,324,264.0,205.0,True,True,very_early
87,167,94,62.0,71.0,261,199.0,190.0,True,True,good
88,140,56,61.0,,196,135.0,,True,False,miss
89,285,86,94.0,,371,277.0,,True,False,miss
90,118,96,60.0,,214,154.0,,True,False,miss
91,144,50,89.0,,194,105.0,,True,False,miss
92,116,73,78.0,,189,111.0,,True,False,miss
93,200,154,64.0,178.0,354,290.0,176.0,True,True,good
94,105,129,60.0,,234,174.0,,True,False,miss
95,110,171,60.0,85.0,281,221.0,196.0,True,True,good
96,123,71,60.0,121.0,194,134.0,73.0,True,True,usable
97,51,105,38.0,,156,118.0,,True,False,miss
98,82,113,58.0,,195,137.0,,True,False,miss
99,237,37,60.0,63.0,274,214.0,211.0,True,True,very_early
100,196,7,91.0,,203,112.0,,True,False,miss
101,166,13,60.0,109.0,179,119.0,70.0,True,True,usable
102,443,22,61.0,183.0,465,404.0,282.0,True,True,very_early
103,145,9,63.0,101.0,154,91.0,53.0,True,True,usable
104,65,120,47.0,,185,138.0,,True,False,miss
105,351,100,145.0,,451,306.0,,True,False,miss
106,148,107,60.0,146.0,255,195.0,109.0,True,True,good
107,121,41,82.0,,162,80.0,,True,False,miss
108,145,153,60.0,118.0,298,238.0,180.0,True,True,good
109,66,126,48.0,,192,144.0,,True,False,miss
110,348,59,71.0,195.0,407,336.0,212.0,True,True,very_early
111,342,18,60.0,200.0,360,300.0,160.0,True,True,good
112,88,66,60.0,,154,94.0,,True,False,miss
113,132,13,72.0,,145,73.0,,True,False,miss
114,218,14,60.0,154.0,232,172.0,78.0,True,True,usable
115,82,139,58.0,,221,163.0,,True,False,miss
116,161,13,60.0,63.0,174,114.0,111.0,True,True,good
117,97,75,70.0,,172,102.0,,True,False,miss
118,178,8,82.0,88.0,186,104.0,98.0,True,True,usable
119,228,109,91.0,185.0,337,246.0,152.0,True,True,good
120,170,137,64.0,87.0,307,243.0,220.0,True,True,very_early
121,194,41,68.0,,235,167.0,,True,False,miss
122,117,192,60.0,,309,249.0,,True,False,miss
123,236,23,60.0,183.0,259,199.0,76.0,True,True,usable
124,230,86,64.0,,316,252.0,,True,False,miss
125,21,184,,,205,,,False,False,miss
126,220,15,70.0,124.0,235,165.0,111.0,True,True,good
127,98,195,70.0,,293,223.0,,True,False,miss
128,139,126,60.0,71.0,265,205.0,194.0,True,True,good
129,315,120,60.0,198.0,435,375.0,237.0,True,True,very_early
130,107,165,78.0,99.0,272,194.0,173.0,True,True,good
131,193,101,60.0,93.0,294,234.0,201.0,True,True,very_early
132,115,116,60.0,115.0,231,171.0,116.0,True,True,good
133,74,126,53.0,,200,147.0,,True,False,miss
134,266,36,105.0,219.0,302,197.0,83.0,True,True,usable
135,435,7,85.0,302.0,442,357.0,140.0,True,True,good
136,56,122,41.0,,178,137.0,,True,False,miss
137,291,159,81.0,194.0,450,369.0,256.0,True,True,very_early
138,239,88,62.0,199.0,327,265.0,128.0,True,True,good
139,88,173,62.0,,261,199.0,,True,False,miss
140,160,146,98.0,,306,208.0,,True,False,miss
141,19,130,,,149,,,False,False,miss
142,69,108,50.0,,177,127.0,,True,False,miss
143,327,53,86.0,159.0,380,294.0,221.0,True,True,very_early
144,34,162,28.0,,196,168.0,,True,False,miss
145,102,59,60.0,,161,101.0,,True,False,miss
146,84,100,59.0,,184,125.0,,True,False,miss
147,116,56,60.0,,172,112.0,,True,False,miss
148,126,145,60.0,,271,211.0,,True,False,miss
149,320,76,63.0,178.0,396,333.0,218.0,True,True,very_early
150,202,57,91.0,,259,168.0,,True,False,miss
151,285,31,96.0,262.0,316,220.0,54.0,True,True,usable
152,195,88,71.0,166.0,283,212.0,117.0,True,True,good
153,130,173,90.0,,303,213.0,,True,False,miss
154,122,34,70.0,,156,86.0,,True,False,miss
155,161,7,64.0,114.0,168,104.0,54.0,True,True,usable
156,28,133,28.0,,161,133.0,,True,False,miss
157,138,172,60.0,,310,250.0,,True,False,miss
158,171,6,64.0,73.0,177,113.0,104.0,True,True,good
159,160,22,60.0,,182,122.0,,True,False,miss
160,122,83,60.0,92.0,205,145.0,113.0,True,True,good
161,257,82,63.0,168.0,339,276.0,171.0,True,True,good
162,99,84,60.0,,183,123.0,,True,False,miss
163,122,95,60.0,63.0,217,157.0,154.0,True,True,good
164,29,174,28.0,,203,175.0,,True,False,miss
165,178,111,65.0,,289,224.0,,True,False,miss
166,63,72,46.0,,135,89.0,,True,False,miss
167,99,109,59.0,,208,149.0,,True,False,miss
168,74,87,53.0,,161,108.0,,True,False,miss
169,34,179,28.0,,213,185.0,,True,False,miss
170,48,158,36.0,,206,170.0,,True,False,miss
171,355,126,72.0,212.0,481,409.0,269.0,True,True,very_early
172,132,12,60.0,92.0,144,84.0,52.0,True,True,usable
173,151,8,63.0,74.0,159,96.0,85.0,True,True,usable
174,135,10,77.0,,145,68.0,,True,False,miss
175,116,123,60.0,,239,179.0,,True,False,miss
176,185,103,67.0,,288,221.0,,True,False,miss
177,146,12,81.0,,158,77.0,,True,False,miss
178,279,106,89.0,108.0,385,296.0,277.0,True,True,very_early
179,262,12,60.0,230.0,274,214.0,44.0,True,True,usable
180,367,32,134.0,323.0,399,265.0,76.0,True,True,usable
181,199,37,87.0,,236,149.0,,True,False,miss
182,98,116,60.0,,214,154.0,,True,False,miss
183,125,15,79.0,101.0,140,61.0,39.0,True,True,usable
184,154,10,60.0,,164,104.0,,True,False,miss
185,203,46,60.0,127.0,249,189.0,122.0,True,True,good
186,47,142,35.0,,189,154.0,,True,False,miss
187,121,24,64.0,,145,81.0,,True,False,miss
188,157,135,70.0,124.0,292,222.0,168.0,True,True,good
189,107,56,60.0,78.0,163,103.0,85.0,True,True,usable
190,200,43,65.0,,243,178.0,,True,False,miss
191,71,178,51.0,,249,198.0,,True,False,miss
192,203,71,76.0,159.0,274,198.0,115.0,True,True,good
193,263,104,81.0,89.0,367,286.0,278.0,True,True,very_early
194,214,15,62.0,181.0,229,167.0,48.0,True,True,usable
195,186,166,77.0,,352,275.0,,True,False,miss
196,70,89,50.0,,159,109.0,,True,False,miss
197,196,36,84.0,173.0,232,148.0,59.0,True,True,usable
198,115,11,60.0,66.0,126,66.0,60.0,True,True,usable
199,177,92,67.0,124.0,269,202.0,145.0,True,True,good
200,115,96,71.0,,211,140.0,,True,False,miss
201,139,59,66.0,,198,132.0,,True,False,miss
202,222,13,60.0,214.0,235,175.0,21.0,True,True,last_minute
203,87,167,60.0,,254,194.0,,True,False,miss
204,19,151,,,170,,,False,False,miss
205,95,154,60.0,,249,189.0,,True,False,miss
206,291,109,66.0,225.0,400,334.0,175.0,True,True,good
207,179,116,63.0,101.0,295,232.0,194.0,True,True,good
208,180,91,79.0,115.0,271,192.0,156.0,True,True,good
209,171,11,112.0,170.0,182,70.0,12.0,True,True,last_minute
210,135,88,86.0,,223,137.0,,True,False,miss
211,206,108,60.0,77.0,314,254.0,237.0,True,True,very_early
212,261,76,60.0,,337,277.0,,True,False,miss
213,288,14,84.0,200.0,302,218.0,102.0,True,True,good
214,102,89,60.0,,191,131.0,,True,False,miss
215,72,145,52.0,,217,165.0,,True,False,miss
216,264,17,87.0,159.0,281,194.0,122.0,True,True,good
217,141,66,64.0,,207,143.0,,True,False,miss
218,63,154,46.0,,217,171.0,,True,False,miss
219,110,41,78.0,,151,73.0,,True,False,miss
220,65,182,47.0,,247,200.0,,True,False,miss
221,176,73,64.0,155.0,249,185.0,94.0,True,True,usable
222,178,39,85.0,,217,132.0,,True,False,miss
223,305,58,60.0,155.0,363,303.0,208.0,True,True,very_early
224,152,14,60.0,,166,106.0,,True,False,miss
225,39,145,30.0,,184,154.0,,True,False,miss
226,59,88,43.0,,147,104.0,,True,False,miss
227,62,162,45.0,,224,179.0,,True,False,miss
228,126,189,60.0,,315,255.0,,True,False,miss
229,20,120,,,140,,,False,False,miss
230,157,98,60.0,,255,195.0,,True,False,miss
231,230,33,61.0,181.0,263,202.0,82.0,True,True,usable
232,370,184,60.0,86.0,554,494.0,468.0,True,True,very_early
233,111,110,68.0,87.0,221,153.0,134.0,True,True,good
234,179,68,60.0,,247,187.0,,True,False,miss
235,362,24,60.0,181.0,386,326.0,205.0,True,True,very_early
236,176,75,60.0,,251,191.0,,True,False,miss
237,221,18,62.0,199.0,239,177.0,40.0,True,True,usable
238,177,16,60.0,,193,133.0,,True,False,miss
239,28,166,28.0,,194,166.0,,True,False,miss
240,204,98,91.0,,302,211.0,,True,False,miss
241,42,176,32.0,,218,186.0,,True,False,miss
242,112,81,72.0,112.0,193,121.0,81.0,True,True,usable
243,199,118,90.0,98.0,317,227.0,219.0,True,True,very_early
244,184,35,60.0,63.0,219,159.0,156.0,True,True,good
245,63,131,46.0,,194,148.0,,True,False,miss
246,29,194,28.0,,223,195.0,,True,False,miss
247,94,112,62.0,94.0,206,144.0,112.0,True,True,good
248,281,26,72.0,151.0,307,235.0,156.0,True,True,good
