unit_id,n_cycles,rul,true_failure_cycle,warning_cycle,true_lead_time,false_positive,covered,first_structural_signal,first_acceleration,first_relational,first_regime_instability
100,261,7,49,39,10,False,True,2,2,15,
101,260,13,38,39,,False,True,1,11,15,
102,194,22,22,29,,False,True,1,2,15,
103,224,9,51,33,18,False,True,2,2,15,
104,203,120,129,30,99,False,True,1,9,15,
105,170,100,100,25,75,False,True,3,15,15,
106,266,107,148,39,109,False,True,1,12,15,
107,183,41,41,27,14,False,True,1,10,15,
108,304,153,153,45,108,False,True,1,11,15,
109,325,126,168,48,120,False,True,2,2,15,
110,186,59,101,27,74,False,True,1,12,15,
111,297,18,60,44,16,False,True,1,9,15,
112,340,66,108,51,57,False,True,1,13,15,
113,184,13,54,27,27,False,True,2,15,15,
114,161,14,56,24,32,False,True,3,2,15,
115,131,139,174,19,155,False,True,2,16,15,
116,344,13,55,51,4,False,True,1,12,15,
117,342,75,117,51,66,False,True,1,15,15,
118,543,8,50,81,,False,True,2,2,15,
119,187,109,151,28,123,False,True,1,10,15,
120,177,137,179,26,153,False,True,1,16,15,
121,194,41,83,29,54,False,True,2,2,15,
122,174,192,217,26,191,False,True,1,17,15,
123,226,23,65,33,32,False,True,2,2,15,
124,170,86,128,25,103,False,True,1,14,15,
125,239,184,226,35,191,False,True,5,15,15,
126,302,15,57,45,12,False,True,2,11,15,
127,235,195,237,35,202,False,True,1,14,15,
128,248,126,168,37,131,False,True,1,9,15,
129,190,120,130,28,102,False,True,3,2,15,
130,166,165,175,24,151,False,True,2,2,15,
131,370,101,101,55,46,False,True,1,4,15,
132,254,116,126,38,88,False,True,1,12,15,
133,489,126,168,73,95,False,True,1,14,15,
134,247,36,56,37,19,False,True,2,2,15,
135,149,7,49,22,27,False,True,1,12,15,
136,205,122,122,30,92,False,True,1,18,15,
137,225,159,200,33,167,False,True,1,17,15,
138,178,88,130,26,104,False,True,1,20,15,
139,251,173,215,37,178,False,True,1,17,15,
140,298,146,187,44,143,False,True,2,14,15,
141,199,130,172,29,143,False,True,1,8,15,
142,209,108,108,31,77,False,True,1,16,15,
143,184,53,95,27,68,False,True,1,9,15,
144,297,162,203,44,159,False,True,2,17,15,
145,228,59,101,34,67,False,True,1,16,15,
146,303,100,109,45,64,False,True,1,23,15,
147,234,56,98,35,63,False,True,1,13,15,
148,193,145,187,28,159,False,True,1,8,15,
149,261,76,118,39,79,False,True,1,13,15,
150,149,57,66,22,44,False,True,1,17,15,
151,351,31,31,52,,False,True,1,11,15,
152,262,88,122,39,83,False,True,2,11,15,
153,168,173,198,25,173,False,True,3,2,15,
154,203,34,69,30,39,False,True,2,2,15,
155,295,7,49,44,5,False,True,1,2,15,
156,139,133,133,20,113,False,True,1,10,15,
157,298,172,172,44,128,False,True,2,2,15,
158,399,6,48,59,,False,True,1,11,15,
159,288,22,22,43,,False,True,2,2,15,
160,187,83,108,28,80,False,True,2,10,15,
161,303,82,82,45,37,False,True,1,9,15,
162,313,84,126,46,80,False,True,43,36,15,
163,285,95,136,42,94,False,True,1,29,15,
164,380,174,209,57,152,False,True,2,2,15,
165,255,111,111,38,73,False,True,1,11,15,
166,269,72,114,40,74,False,True,1,8,15,
167,263,109,119,39,80,False,True,1,12,15,
168,196,87,129,29,100,False,True,2,2,15,
169,227,179,179,34,145,False,True,1,12,15,
170,161,158,177,24,153,False,True,1,10,15,
171,399,126,168,59,109,False,True,2,2,15,
172,273,12,54,40,14,False,True,1,17,15,
173,457,8,50,68,,False,True,1,12,15,
174,370,10,52,55,,False,True,2,11,15,
175,156,123,132,23,109,False,True,1,15,15,
176,180,103,145,27,118,False,True,1,9,15,
177,242,12,53,36,17,False,True,1,12,15,
178,170,106,148,25,123,False,True,2,24,15,
179,435,12,22,65,,False,True,1,12,15,
180,344,32,73,51,22,False,True,2,2,15,
181,134,37,37,20,17,False,True,1,10,15,
182,205,116,157,30,127,False,True,3,2,15,
183,190,15,57,28,29,False,True,2,21,15,
184,379,10,52,56,,False,True,1,11,15,
185,259,46,81,38,43,False,True,1,15,15,
186,163,142,142,24,118,False,True,3,2,15,
187,273,24,34,40,,False,True,1,17,15,
188,254,135,145,38,107,False,True,2,2,15,
189,239,56,98,35,63,False,True,2,2,15,
190,381,43,77,57,20,False,True,2,17,15,
191,297,178,220,44,176,False,True,4,2,15,
192,190,71,113,28,85,False,True,2,2,15,
193,197,104,146,29,117,False,True,1,11,15,
194,145,15,25,21,4,False,True,2,10,15,
195,159,166,207,23,184,False,True,1,9,15,
196,174,89,131,26,105,False,True,1,10,15,
197,170,36,46,25,21,False,True,1,11,15,
198,164,11,21,24,,False,True,1,10,15,
199,176,92,133,26,107,False,True,1,23,15,
200,225,96,138,33,105,False,True,3,2,15,
201,378,59,59,56,3,False,True,8,36,15,
202,241,13,23,36,,False,True,1,9,15,
203,324,167,208,48,160,False,True,1,35,15,
204,211,151,193,31,162,False,True,1,12,15,
205,242,154,195,36,159,False,True,1,15,15,
206,263,109,119,39,80,False,True,1,9,15,
207,379,116,158,56,102,False,True,2,2,15,
208,290,91,133,43,90,False,True,2,10,15,
209,161,11,52,24,28,False,True,1,9,15,
210,167,88,130,25,105,False,True,1,13,15,
211,146,108,150,21,129,False,True,1,15,15,
212,229,76,118,34,84,False,True,2,23,15,
213,197,14,34,29,5,False,True,1,9,15,
214,128,89,89,19,70,False,True,1,12,15,
215,361,145,186,54,132,False,True,2,11,15,
216,244,17,59,36,23,False,True,1,9,15,
217,200,66,91,30,61,False,True,1,10,15,
218,236,154,164,35,129,False,True,2,9,15,
219,190,41,41,28,13,False,True,2,8,15,
220,202,182,223,30,193,False,True,1,12,15,
221,274,73,115,41,74,False,True,2,2,15,
222,202,39,39,30,9,False,True,1,10,15,
223,247,58,68,37,31,False,True,2,10,15,
224,268,14,56,40,16,False,True,2,14,15,
225,418,145,154,62,92,False,True,1,19,15,
226,194,88,88,29,59,False,True,1,23,15,
227,287,162,197,43,154,False,True,1,14,15,
228,279,189,224,41,183,False,True,2,2,15,
229,280,120,140,42,98,False,True,1,17,15,
230,250,98,140,37,103,False,True,1,11,15,
231,194,33,75,29,46,False,True,1,16,15,
232,273,184,226,40,186,False,True,2,2,15,
233,289,110,152,43,109,False,True,1,19,15,
234,207,68,110,31,79,False,True,1,10,15,
235,199,24,65,29,36,False,True,2,27,15,
236,225,75,116,33,83,False,True,2,2,15,
237,212,18,60,31,29,False,True,1,10,15,
238,187,16,58,28,30,False,True,2,16,15,
239,365,166,166,54,112,False,True,2,2,15,
240,149,98,139,22,117,False,True,1,12,15,
241,332,176,211,49,162,False,True,1,15,15,
242,222,81,123,33,90,False,True,2,2,15,
243,327,118,160,49,111,False,True,2,11,15,
244,267,35,77,40,37,False,True,2,2,15,
245,205,131,141,30,111,False,True,2,2,15,
246,161,194,219,24,195,False,True,2,10,15,
247,211,112,154,31,123,False,True,2,15,15,
248,184,26,26,27,,False,True,1,9,15,
