unit,cycles,baseline_peak,operator_drift_peak,spectral_radius_peak,degradation_start,ema_warning,lead_vs_degradation,lead_vs_baseline,false_positive,warning_before_degradation,warning_before_baseline_peak,max_ema_before_degradation,healthy_reference_n,healthy_reference_filtered_n
46,321,300,264,120,256,157.0,99.0,143.0,False,True,True,12.212430987659632,64,34
47,375,135,53,223,300,,,,False,False,False,14.966300352903408,75,43
48,322,75,114,266,257,273.0,-16.0,-198.0,False,False,False,6.118573086500485,64,34
49,446,108,430,120,356,263.0,93.0,-155.0,False,True,False,5.24753957691041,89,54
50,172,143,133,105,137,95.0,42.0,48.0,False,True,True,4.959947235510383,34,10
51,285,75,205,116,228,94.0,134.0,-19.0,False,True,False,6.480385282196638,57,28
52,357,40,22,215,285,,,,False,False,False,15.652574500205334,71,40
53,304,296,248,152,243,81.0,162.0,215.0,False,True,True,5.2109664466007395,60,31
54,197,70,176,164,157,67.0,90.0,3.0,False,True,True,5.412442810266775,39,14
55,344,120,98,319,275,193.0,82.0,-73.0,False,True,False,6.654623383032387,68,37
56,347,326,194,28,277,197.0,80.0,129.0,False,True,True,14.320357341311615,69,38
57,193,123,41,142,154,43.0,111.0,80.0,False,True,True,8.955725788572689,38,13
58,281,48,36,74,224,,,,False,False,False,8.650378699063523,56,28
59,177,101,87,38,141,48.0,93.0,53.0,False,True,True,3.769437752744616,35,11
60,218,124,203,28,174,,,,False,False,False,4.790642622643926,43,17
61,244,121,34,36,195,,,,False,False,False,8.757751454730725,48,21
62,297,107,185,131,237,69.0,168.0,38.0,False,True,True,12.124976852198158,59,30
63,170,165,109,108,136,109.0,27.0,56.0,False,True,True,15.204215334157693,34,10
64,184,48,36,162,147,40.0,107.0,8.0,False,True,True,9.46251984322461,36,12
65,351,244,51,321,280,,,,False,False,False,6.145748048765908,70,39
66,175,30,84,61,140,87.0,53.0,-57.0,False,True,False,13.646926485895577,35,11
67,167,110,130,151,133,39.0,94.0,71.0,False,True,True,4.241816213807472,33,9
68,163,109,123,143,130,,,,False,False,False,5.500410342463368,32,8
69,226,121,34,36,180,,,,False,False,False,10.047095031301602,45,19
70,185,33,47,21,148,47.0,101.0,-14.0,False,True,False,19.948868239273555,37,12
71,312,301,307,304,249,88.0,161.0,213.0,False,True,True,10.826669067286014,62,32
72,308,266,181,181,246,185.0,61.0,81.0,False,True,True,11.342662465017556,61,32
73,181,131,109,170,144,52.0,92.0,79.0,False,True,True,9.284543163533524,36,12
74,244,114,223,168,195,198.0,-3.0,-84.0,False,False,False,7.080259662740259,48,21
75,230,132,154,66,184,88.0,96.0,44.0,False,True,True,9.975116324943517,46,20
76,152,129,21,29,121,,,,False,False,False,5.206340086558045,30,7
77,148,139,79,83,118,50.0,68.0,89.0,False,True,True,12.308579315938285,29,6
78,250,236,77,76,200,81.0,119.0,155.0,False,True,True,11.100129505395005,50,23
79,218,201,154,54,174,53.0,121.0,148.0,False,True,True,10.026824545176499,43,17
80,305,210,202,271,244,95.0,149.0,115.0,False,True,True,6.520990461068763,61,32
81,187,24,72,64,149,40.0,109.0,-16.0,False,True,False,7.117274467210553,37,12
82,197,166,182,101,157,52.0,105.0,114.0,False,True,True,8.254942401868465,39,14
83,184,127,28,104,147,,,,False,False,False,19.32958760323008,36,12
84,159,73,107,102,127,40.0,87.0,33.0,False,True,True,10.566744677905255,31,8
85,277,138,23,42,221,,,,False,False,False,6.747663021348922,55,27
86,232,42,186,38,185,190.0,-5.0,-148.0,False,False,False,5.513418311497639,46,20
87,259,181,83,221,207,74.0,133.0,107.0,False,True,True,8.607352063725228,51,24
88,388,283,84,107,310,88.0,222.0,195.0,False,True,True,13.142355044238043,77,44
89,168,80,140,35,134,39.0,95.0,41.0,False,True,True,4.7232090186228515,33,9
90,212,41,96,208,169,91.0,78.0,-50.0,False,True,False,10.71874479523361,42,16
91,354,206,207,53,283,206.0,77.0,0.0,False,True,False,17.247349941133894,70,39
92,191,164,172,188,152,86.0,66.0,78.0,False,True,True,7.656026001776016,38,13
93,196,174,143,143,156,147.0,9.0,27.0,False,True,True,6.202617355773164,39,14
94,249,191,172,78,199,175.0,24.0,16.0,False,True,True,10.743776047933782,49,22
95,239,58,77,193,191,,,,False,False,False,11.16300861055243,47,20
96,270,131,257,62,216,149.0,67.0,-18.0,False,True,False,6.804458321669053,54,26
97,262,21,123,134,209,,,,False,False,False,15.59662589997609,52,24
98,245,115,195,117,196,194.0,2.0,-79.0,False,True,False,9.28167047756877,49,22
99,167,103,60,117,133,47.0,86.0,56.0,False,True,True,7.069511086479881,33,9
100,261,207,227,72,208,231.0,-23.0,-24.0,False,False,False,9.425697076233526,52,24
101,260,121,171,35,208,167.0,41.0,-46.0,False,True,False,19.024256053700313,52,24
102,194,149,80,90,155,44.0,111.0,105.0,False,True,True,8.893134046935575,38,13
103,224,48,47,162,179,51.0,128.0,-3.0,False,True,False,10.186199414187953,44,18
104,203,113,186,120,162,,,,False,False,False,5.8477899057140945,40,15
105,170,151,114,28,136,55.0,81.0,96.0,False,True,True,7.705174725635652,34,10
106,266,96,148,147,212,88.0,124.0,8.0,False,True,True,12.517615750718605,53,25
107,183,82,158,91,146,162.0,-16.0,-80.0,False,False,False,4.0229354292859405,36,12
108,304,41,208,116,243,120.0,123.0,-79.0,False,True,False,9.040923469575779,60,31
109,325,316,109,108,260,,,,False,False,False,7.351812317420756,65,35
110,186,139,183,80,148,67.0,81.0,72.0,False,True,True,4.909677042180613,37,12
111,297,229,290,246,237,70.0,167.0,159.0,False,True,True,6.983409742809352,59,30
112,340,260,245,68,272,,,,False,False,False,16.534697819059645,68,37
113,184,89,129,75,147,,,,False,False,False,4.736527087828675,36,12
114,161,101,120,142,128,59.0,69.0,42.0,False,True,True,10.201127885893996,32,8
115,131,29,72,72,104,74.0,30.0,-45.0,False,True,False,6.712123371811829,26,4
116,344,234,324,175,275,251.0,24.0,-17.0,False,True,False,13.367254340770614,68,37
117,342,332,324,84,273,,,,False,False,False,5.927776043506613,68,37
118,543,136,239,239,434,243.0,191.0,-107.0,False,True,False,20.03121527517456,108,69
119,187,105,147,99,149,45.0,104.0,60.0,False,True,True,15.485238175046838,37,12
120,177,122,79,135,141,,,,False,False,False,10.920320731033538,35,11
121,194,25,171,46,155,46.0,109.0,-21.0,False,True,False,6.917924598136402,38,13
122,174,88,147,146,139,144.0,-5.0,-56.0,False,False,False,6.768950199777578,34,10
123,226,71,61,197,180,,,,False,False,False,8.077224998870381,45,19
124,170,49,104,79,136,108.0,28.0,-59.0,False,True,False,6.718998815896909,34,10
125,239,91,143,96,191,73.0,118.0,18.0,False,True,True,5.592187083834343,47,20
126,302,68,290,290,241,294.0,-53.0,-226.0,False,False,False,10.570798968277257,60,31
127,235,91,69,174,188,72.0,116.0,19.0,False,True,True,9.869331343194673,47,20
128,248,56,228,20,198,,,,False,False,False,5.7182310642684975,49,22
129,190,53,72,71,152,70.0,82.0,-17.0,False,True,False,7.332359877134385,38,13
130,166,94,81,25,132,58.0,74.0,36.0,False,True,True,5.225974928997613,33,9
131,370,135,189,149,296,185.0,111.0,-50.0,False,True,False,9.488375122779193,74,42
132,254,126,39,48,203,,,,False,False,False,19.531795965244548,50,23
133,489,411,317,50,391,319.0,72.0,92.0,False,True,True,14.205494632330542,97,60
134,247,48,202,113,197,54.0,143.0,-6.0,False,True,False,9.816307897503057,49,22
135,149,27,113,61,119,41.0,78.0,-14.0,False,True,False,9.341968753235783,29,6
136,205,83,147,175,164,151.0,13.0,-68.0,False,True,False,8.96004173008847,41,16
137,225,123,188,72,180,84.0,96.0,39.0,False,True,True,5.081627324694287,45,19
138,178,164,91,92,142,46.0,96.0,118.0,False,True,True,14.581997080035451,35,11
139,251,229,179,209,200,183.0,17.0,46.0,False,True,True,5.420488169474186,50,23
140,298,170,234,237,238,91.0,147.0,79.0,False,True,True,9.519761653187896,59,30
141,199,91,183,108,159,57.0,102.0,34.0,False,True,True,9.110019148926959,39,14
142,209,83,208,122,167,53.0,114.0,30.0,False,True,True,8.931793973698907,41,16
143,184,182,136,49,147,47.0,100.0,135.0,False,True,True,13.246829712843763,36,12
144,297,90,167,45,237,166.0,71.0,-76.0,False,True,False,11.842984485538704,59,30
145,228,60,136,135,182,58.0,124.0,2.0,False,True,True,6.933630572096192,45,19
146,303,151,251,294,242,106.0,136.0,45.0,False,True,True,6.917939209813732,60,31
147,234,121,75,125,187,79.0,108.0,42.0,False,True,True,7.026216877642645,46,20
148,193,138,47,128,154,51.0,103.0,87.0,False,True,True,15.680293098778797,38,13
149,261,180,43,179,208,,,,False,False,False,7.375018871758321,52,24
150,149,72,128,138,119,32.0,87.0,40.0,False,True,True,6.127600966873217,29,6
151,351,129,21,342,280,,,,False,False,False,11.660671987649264,70,39
152,262,75,23,96,209,,,,False,False,False,6.452282114743084,52,24
153,168,113,51,125,134,55.0,79.0,58.0,False,True,True,11.92994735400232,33,9
154,203,181,181,177,162,85.0,77.0,96.0,False,True,True,8.448070369917577,40,15
155,295,273,252,93,236,,,,False,False,False,6.846181134229022,59,30
156,139,39,60,45,111,40.0,71.0,-1.0,False,True,False,8.774769526989793,27,4
157,298,113,40,103,238,,,,False,False,False,19.660756835866636,59,30
158,399,247,166,121,319,161.0,158.0,86.0,False,True,True,16.979577648293393,79,46
159,288,172,207,273,230,210.0,20.0,-38.0,False,True,False,10.955479572777378,57,28
160,187,125,161,97,149,61.0,88.0,64.0,False,True,True,5.932786200661278,37,12
161,303,59,116,255,242,82.0,160.0,-23.0,False,True,False,9.816888203119152,60,31
162,313,85,115,50,250,119.0,131.0,-34.0,False,True,False,14.582665488049221,62,32
163,285,92,41,24,228,,,,False,False,False,5.614122980152951,57,28
164,380,121,304,209,304,,,,False,False,False,5.808173225461964,76,44
165,255,193,86,116,204,66.0,138.0,127.0,False,True,True,6.492014555114331,51,24
166,269,246,48,48,215,,,,False,False,False,9.647336511945294,53,25
167,263,190,237,119,210,241.0,-31.0,-51.0,False,False,False,7.586114901435662,52,24
168,196,82,62,87,156,55.0,101.0,27.0,False,True,True,16.97122082090703,39,14
169,227,221,192,226,181,,,,False,False,False,7.235192026373909,45,19
170,161,91,123,158,128,38.0,90.0,53.0,False,True,True,8.8932870946742,32,8
171,399,71,287,33,319,288.0,31.0,-217.0,False,True,False,12.738771339397708,79,46
172,273,206,153,26,218,144.0,74.0,62.0,False,True,True,6.172915139396338,54,26
173,457,220,187,434,365,138.0,227.0,82.0,False,True,True,12.42265522348174,91,56
174,370,187,268,199,296,270.0,26.0,-83.0,False,True,False,22.832723275324827,74,42
175,156,61,22,55,124,122.0,2.0,-61.0,False,True,False,5.4368161343372705,31,8
176,180,131,171,62,144,151.0,-7.0,-20.0,False,False,False,3.858697115231342,36,12
177,242,60,137,182,193,96.0,97.0,-36.0,False,True,False,14.047521298500602,48,21
178,170,82,91,31,136,40.0,96.0,42.0,False,True,True,12.573863093666448,34,10
179,435,298,399,338,348,143.0,205.0,155.0,False,True,True,8.246011724498123,87,52
180,344,38,270,270,275,229.0,46.0,-191.0,False,True,False,16.85247993522743,68,37
181,134,21,38,119,107,32.0,75.0,-11.0,False,True,False,5.271319976225919,26,4
182,205,102,128,101,164,,,,False,False,False,4.765901469735754,41,16
183,190,152,79,162,152,43.0,109.0,109.0,False,True,True,6.008943090691649,38,13
184,379,149,97,129,303,98.0,205.0,51.0,False,True,True,14.261337213597418,75,43
185,259,78,25,68,207,,,,False,False,False,5.294492207186283,51,24
186,163,56,84,107,130,49.0,81.0,7.0,False,True,True,16.388381122159426,32,8
187,273,112,168,130,218,150.0,68.0,-38.0,False,True,False,6.116133435658863,54,26
188,254,220,23,157,203,71.0,132.0,149.0,False,True,True,12.95290431646224,50,23
189,239,182,56,55,191,59.0,132.0,123.0,False,True,True,14.860800077424289,47,20
190,381,122,337,276,304,139.0,165.0,-17.0,False,True,False,9.769427335000579,76,44
191,297,153,82,128,237,86.0,151.0,67.0,False,True,True,10.040203908219985,59,30
192,190,173,184,105,152,50.0,102.0,123.0,False,True,True,5.2214069526071505,38,13
193,197,94,175,102,157,47.0,110.0,47.0,False,True,True,5.321659773972599,39,14
194,145,139,84,25,116,41.0,75.0,98.0,False,True,True,10.383323055157817,29,6
195,159,104,94,144,127,93.0,34.0,11.0,False,True,True,9.801292131093653,31,8
196,174,115,102,149,139,47.0,92.0,68.0,False,True,True,14.185822718347577,34,10
197,170,159,37,36,136,,,,False,False,False,10.623792233645776,34,10
198,164,147,138,82,131,60.0,71.0,87.0,False,True,True,4.442118927526747,32,8
199,176,46,79,152,140,,,,False,False,False,5.796584116725093,35,11
200,225,40,54,221,180,58.0,122.0,-18.0,False,True,False,7.986317597535659,45,19
201,378,85,107,171,302,108.0,194.0,-23.0,False,True,False,10.99876274372249,75,43
202,241,180,57,57,192,61.0,131.0,119.0,False,True,True,6.740031690567324,48,21
203,324,261,121,28,259,122.0,137.0,139.0,False,True,True,14.342492353484817,64,34
204,211,132,53,107,168,51.0,117.0,81.0,False,True,True,9.817604161262608,42,16
205,242,83,188,139,193,64.0,129.0,19.0,False,True,True,14.195142251942482,48,21
206,263,162,103,246,210,107.0,103.0,55.0,False,True,True,9.766249752228337,52,24
207,379,294,308,44,303,310.0,-7.0,-16.0,False,False,False,7.08690098615836,75,43
208,290,86,106,252,232,,,,False,False,False,8.597836878296096,58,29
209,161,123,75,77,128,,,,False,False,False,4.632548611470924,32,8
210,167,58,110,21,133,40.0,93.0,18.0,False,True,True,9.488500296725267,33,9
211,146,126,58,22,116,32.0,84.0,94.0,False,True,True,10.673003540199574,29,6
212,229,125,190,126,183,194.0,-11.0,-69.0,False,False,False,11.118837713035472,45,19
213,197,170,155,143,157,140.0,17.0,30.0,False,True,True,5.368062711359155,39,14
214,128,112,100,26,102,28.0,74.0,84.0,False,True,True,4.696923663100691,25,3
215,361,334,99,185,288,96.0,192.0,238.0,False,True,True,12.969236524324085,72,40
216,244,232,136,195,195,135.0,60.0,97.0,False,True,True,13.624771666701278,48,21
217,200,181,87,126,160,87.0,73.0,94.0,False,True,True,10.743790353809691,40,15
218,236,178,38,42,188,,,,False,False,False,13.598959856087165,47,20
219,190,119,130,75,152,104.0,48.0,15.0,False,True,True,10.538757089798453,38,13
220,202,25,197,75,161,201.0,-40.0,-176.0,False,False,False,5.135626778811908,40,15
221,274,216,26,106,219,,,,False,False,False,7.931376700670276,54,26
222,202,189,107,106,161,57.0,104.0,132.0,False,True,True,32.89295093199139,40,15
223,247,222,114,28,197,54.0,143.0,168.0,False,True,True,7.839060127551496,49,22
224,268,47,205,79,214,196.0,18.0,-149.0,False,True,False,10.749430416249453,53,25
225,418,83,268,158,334,267.0,67.0,-184.0,False,True,False,13.164612955917875,83,49
226,194,193,125,189,155,,,,False,False,False,4.952621658007284,38,13
227,287,152,255,255,229,259.0,-30.0,-107.0,False,False,False,6.991728200487138,57,28
228,279,275,143,137,223,99.0,124.0,176.0,False,True,True,4.391172319184303,55,27
229,280,266,180,92,224,87.0,137.0,179.0,False,True,True,15.03071554894808,56,28
230,250,116,175,104,200,138.0,62.0,-22.0,False,True,False,13.637559616842143,50,23
231,194,162,130,110,155,128.0,27.0,34.0,False,True,True,7.215117574168394,38,13
232,273,40,158,207,218,160.0,58.0,-120.0,False,True,False,11.236967273133843,54,26
233,289,238,141,226,231,64.0,167.0,174.0,False,True,True,11.773655110440803,57,28
234,207,101,35,111,165,,,,False,False,False,17.29945439758982,41,16
235,199,134,46,53,159,50.0,109.0,84.0,False,True,True,4.989870906093492,39,14
236,225,34,131,214,180,87.0,93.0,-53.0,False,True,False,10.598617029642622,45,19
237,212,125,62,128,169,66.0,103.0,59.0,False,True,True,11.829899119610523,42,16
238,187,182,82,109,149,50.0,99.0,132.0,False,True,True,18.48535941466804,37,12
239,365,261,329,351,292,333.0,-41.0,-72.0,False,False,False,9.71322801014744,73,41
240,149,125,108,84,119,33.0,86.0,92.0,False,True,True,18.81383955466426,29,6
241,332,83,188,237,265,151.0,114.0,-68.0,False,True,False,10.747928691609484,66,36
242,222,144,50,123,177,53.0,124.0,91.0,False,True,True,5.956867320623814,44,18
243,327,310,173,224,261,91.0,170.0,219.0,False,True,True,8.707327815606453,65,35
244,267,121,144,201,213,,,,False,False,False,6.693940446318364,53,25
245,205,188,23,101,164,,,,False,False,False,12.726820076548812,41,16
246,161,154,80,98,128,46.0,82.0,108.0,False,True,True,9.983043935176939,32,8
247,211,32,198,87,168,,,,False,False,False,4.583130871762911,42,16
248,184,59,76,42,147,43.0,104.0,16.0,False,True,True,13.796557920135648,36,12
249,255,92,238,129,204,160.0,44.0,-68.0,False,True,False,5.231727181384358,51,24
